qseqid	sseqid	evalue	identity	coverage	kingdom	phylum	class	order	family	genus	species
GL50491	Mucoharknessia_cortaderiae|KM108375|SH528236.07FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Mucoharknessia;s__Mucoharknessia_cortaderiae	1.00E-67	0.973856209	0.493548387	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Mucoharknessia	Mucoharknessia_cortaderiae
GL40050	Neodeightonia_rattanica|KX646357|SH642195.07FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Neodeightonia;s__Neodeightonia_rattanica	1.41E-148	0.989932886	0.894894895	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Neodeightonia	Neodeightonia_rattanica
GL38670	Neofusicoccum_ribis|AY236935|SH374767.07FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Neofusicoccum;s__Neofusicoccum_ribis	1.40E-148	0.993220339	0.891238671	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Neofusicoccum	Neofusicoccum_ribis
GL42478	Neoscytalidium_hyalinum|KF531816|SH330851.07FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Neoscytalidium;s__Neoscytalidium_hyalinum	1.59E-141	0.992907801	0.851963746	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Neoscytalidium	Neoscytalidium_hyalinum
GL40898	Phaeobotryon_cupressi|FJ919672|SH211950.07FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Phaeobotryon;s__Phaeobotryon_cupressi	1.15E-149	0.993265993	0.891891892	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Phaeobotryon	Phaeobotryon_cupressi
ITS_OTUa_2456	Pseudofusicoccum_kimberleyense|EU144057|SH425402.07FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Pseudofusicoccum;s__Pseudofusicoccum_kimberleyense	3.70E-89	1	1	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Pseudofusicoccum	Pseudofusicoccum_kimberleyense
ITS_OTUa_13195	Tiarosporella_graminis_var._karoo|KF531828|SH174637.07FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Tiarosporella;s__Tiarosporella_graminis_var._karoo	1.16E-75	1	1	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Tiarosporella	Tiarosporella_graminis_var._karoo
GL40723	Tiarosporella_paludosa|KM108378|SH526191.07FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Tiarosporella;s__Tiarosporella_paludosa	3.79E-143	0.992982456	0.853293413	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Tiarosporella	Tiarosporella_paludosa
GL29360	Phyllosticta_ardisiicola|AB454274|SH198936.07FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Phyllostictaceae;g__Phyllosticta;s__Phyllosticta_ardisiicola	5.36E-72	0.974842767	0.441666667	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Phyllostictaceae	Phyllosticta	Phyllosticta_ardisiicola
GL02736	Phyllosticta_capitalensis|JQ317409|SH198967.07FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Phyllostictaceae;g__Phyllosticta;s__Phyllosticta_capitalensis	1.91E-53	1	0.261363636	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Phyllostictaceae	Phyllosticta	Phyllosticta_capitalensis
GL42077	Septorioides_pini-thunbergii|DQ019397|SH213935.07FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Septorioideaceae;g__Septorioides;s__Septorioides_pini-thunbergii	3.75E-143	0.996466431	0.854984894	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Septorioideaceae	Septorioides	Septorioides_pini-thunbergii
GL43846	Antennariella_placitae|GQ303268|SH081568.07FU|refs_singleton|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Capnodiaceae;g__Antennariella;s__Antennariella_placitae	2.31E-139	0.972881356	0.913312693	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Capnodiaceae	Antennariella	Antennariella_placitae
GL45856	Antennariella_placitae|GQ303268|SH081568.07FU|refs_singleton|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Capnodiaceae;g__Antennariella;s__Antennariella_placitae	1.56E-141	0.976351351	0.913580247	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Capnodiaceae	Antennariella	Antennariella_placitae
GL46883	Antennariella_placitae|GQ303268|SH081568.07FU|refs_singleton|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Capnodiaceae;g__Antennariella;s__Antennariella_placitae	2.31E-139	0.972881356	0.913312693	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Capnodiaceae	Antennariella	Antennariella_placitae
GL47291	Antennariella_placitae|GQ303268|SH081568.07FU|refs_singleton|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Capnodiaceae;g__Antennariella;s__Antennariella_placitae	5.40E-141	0.976190476	0.913043478	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Capnodiaceae	Antennariella	Antennariella_placitae
GL47919	Antennariella_placitae|GQ303268|SH081568.07FU|refs_singleton|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Capnodiaceae;g__Antennariella;s__Antennariella_placitae	6.56E-140	0.976190476	0.91588785	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Capnodiaceae	Antennariella	Antennariella_placitae
GL48822	Antennariella_placitae|GQ303268|SH081568.07FU|refs_singleton|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Capnodiaceae;g__Antennariella;s__Antennariella_placitae	7.96E-139	0.972789116	0.91875	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Capnodiaceae	Antennariella	Antennariella_placitae
GL45015	Leptoxyphium_madagascariense|GQ303277|SH178404.07FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Capnodiaceae;g__Leptoxyphium;s__Leptoxyphium_madagascariense	1.20E-136	0.989130435	0.849230769	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Capnodiaceae	Leptoxyphium	Leptoxyphium_madagascariense
ITS_OTUa_1154	Leptoxyphium_madagascariense|GQ303277|SH178404.07FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Capnodiaceae;g__Leptoxyphium;s__Leptoxyphium_madagascariense	2.39E-71	1	1	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Capnodiaceae	Leptoxyphium	Leptoxyphium_madagascariense
GL38562	Scorias_leucadendri|JQ044437|SH002815.07FU|reps_singleton|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Capnodiaceae;g__Scorias;s__Scorias_leucadendri	6.92E-140	0.982698962	0.857566766	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Capnodiaceae	Scorias	Scorias_leucadendri
GL47138	Arthrocatena_tenebrio|KF309948|SH200603.07FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Capnodiales_fam_Incertae_sedis;g__Arthrocatena;s__Arthrocatena_tenebrio	9.09E-132	0.978417266	0.86875	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Capnodiales_fam_Incertae_sedis	Arthrocatena	Arthrocatena_tenebrio
ITS_OTUa_5934	Phaeotheca_triangularis|AJ244256|SH212733.07FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Capnodiales_fam_Incertae_sedis;g__Phaeotheca;s__Phaeotheca_triangularis	1.24E-75	0.981818182	1.006097561	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Capnodiales_fam_Incertae_sedis	Phaeotheca	Phaeotheca_triangularis
ITS_OTUa_15891	Pseudoramichloridium_brasilianum|EU041797|SH192631.07FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Capnodiales_fam_Incertae_sedis;g__Pseudoramichloridium;s__Pseudoramichloridium_brasilianum	2.07E-72	0.987012987	1	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Capnodiales_fam_Incertae_sedis	Pseudoramichloridium	Pseudoramichloridium_brasilianum
ITS_OTUa_22375	Cladosporium_aciculare|GU721983|SH212843.07FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_aciculare	1.73E-73	0.987179487	1	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium_aciculare
ITS_OTUa_28799	Cladosporium_aphidis|JN906978|SH294054.07FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_aphidis	1.18E-75	0.993670886	1	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium_aphidis
ITS_OTUa_22080	Cladosporium_delicatulum|HM148081|SH217942.07FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_delicatulum	5.57E-67	1	0.902597403	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium_delicatulum
ITS_OTUa_3	Cladosporium_delicatulum|HM148081|SH217942.07FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_delicatulum	1.16E-75	1	1	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium_delicatulum
ITS_OTUa_51448	Cladosporium_delicatulum|HM148081|SH217942.07FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_delicatulum	7.36E-53	1	0.724358974	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium_delicatulum
GL39011	Cladosporium_dominicanum|DQ780353|SH127904.07FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_dominicanum	2.34E-139	0.985964912	0.871559633	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium_dominicanum
GL44740	Cladosporium_dominicanum|DQ780353|SH127904.07FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_dominicanum	6.65E-140	0.985915493	0.873846154	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium_dominicanum
ITS_OTUa_5004	Cladosporium_dominicanum|DQ780353|SH127904.07FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_dominicanum	3.34E-76	1	1	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium_dominicanum
ITS_OTUa_58996	Cladosporium_dominicanum|DQ780353|SH127904.07FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_dominicanum	1.32E-68	0.974025974	0.993548387	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium_dominicanum
GL38908	Cladosporium_exasperatum|HM148090|SH422672.07FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_exasperatum	2.34E-139	0.996376812	0.841463415	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium_exasperatum
GL45026	Cladosporium_exasperatum|HM148090|SH422672.07FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_exasperatum	1.20E-136	0.989130435	0.849230769	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium_exasperatum
GL45474	Cladosporium_exasperatum|HM148090|SH422672.07FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_exasperatum	4.87E-89	0.978947368	0.829694323	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium_exasperatum
ITS_OTUa_17807	Cladosporium_exasperatum|HM148090|SH422672.07FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_exasperatum	3.08E-70	0.980645161	1.006493506	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium_exasperatum
ITS_OTUa_57147	Cladosporium_exasperatum|HM148090|SH422672.07FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_exasperatum	2.55E-71	0.980645161	1	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium_exasperatum
ITS_OTUa_59873	Cladosporium_exasperatum|HM148090|SH422672.07FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_exasperatum	4.57E-68	0.973856209	0.993506494	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium_exasperatum
