"text_entry","spec","spore_type","measure_orig","Dimension_1","Dimension_2","Dimension_3","Mean_Dim1","Mean_Dim2"
"Ascospores are hyaline, broadly fusoid with a single central septum, a small ridge occurs round the outer wall at the position of the septum, they are 12-15 x 5,5-6,5 µm","Corallomyces aurantiicola_133760","Ascospores","12-15 x 5,5-6,5","12-15","5.5-6.5",NA,13.5,6
"ascospores uniseriate with overlapping ends. Ascospores fusiform, 26.7-30.0-33.4 x 4.9-5.9-6.8 µm,","Hypomyces australis_44968","ascospores","26.7-30.0-33.4 x 4.9-5.9-6.8","26.7-30.0","4.9-5.9",NA,28.35,5.4
"Ascospores fusiform, 26.7-30.0-33.4 x 4.9-5.9-6.8 µm,","Hypomyces australis_44968","Ascospores","26.7-30.0-33.4 x 4.9-5.9-6.8","26.7-30.0","4.9-5.9",NA,28.35,5.4
"Ascospores large, cylindrical to pyriform, sometimes slightly curved, variable in size, 25-40 x 12-22 µm.","Oidiopsis taurica_166124","Ascospores","25-40 x 12-22","25-40","12-22",NA,32.5,17
"Ascospores arranged usually obliquely uniseriately, 15,5-19 x 8,5-11 µm","Puiggarina astragali_203125","Ascospores","15,5-19 x 8,5-11","15.5-19","8.5-11",NA,17.25,9.75
"Ascospores 2-3-seriate, one-celled, ellipsoidal, hyaline, and, according to Koorders (l.c.), 11-13 x 4-5 µm.
","Puiggarina morindae_165025","Ascospores",".)11-13 x 4-5","11-13","4-5",NA,12,4.5
"Ascospores arranged biseriately, 10,5-16 x 6,5-8,5 µm,","Puiggarina ramosii_145244","Ascospores","10,5-16 x 6,5-8,5","10.5-16","6.5-8.5",NA,13.25,7.5
"Ascospores smooth-walled, lenticular, 1,5-20 x 2,5-3 (-4) µm,","Arthroderma fulvum_17206","Ascospores","1,5-20 x 2,5-3 (-4)","1.5-20","2.5-3",NA,10.75,2.75
"Ascospores hyaline, smooth-walled, lenticular, 2,5-3 µm","Arthroderma grubyi_17213","Ascospores","2,5-3","2.5-3",NA,NA,2.75,2.75
"Ascospores smooth, lenticular, 1,5-2 µm","Arthroderma gypseum_17217","Ascospores","1,5-2","1.5-2",NA,NA,1.75,1.75
"Ascospores smooth-walled, lenticular, 1,5-2 x 2,5-3 (-3,5) µm,","Arthroderma incurvatum_17224","Ascospores","1,5-2 x 2,5-3 (-3,5)","1.5-2","2.5-3",NA,1.75,2.75
"Ascospores hyaline, smooth-walled, 2,5-3,5 x 1-2 µm,","Arthroderma obtusum_17229","Ascospores","2,5-3,5 x 1-2","2.5-3.5","1-2",NA,3,1.5
"Ascospores hyaline, smooth-walled, lenticular, 2,5-3,5 x 1,5-2 µm,","Arthroderma persicolor_17242","Ascospores","2,5-3,5 x 1,5-2","2.5-3.5","1.5-2",NA,3,1.75
"Ascospores 35-40 x 6-7,5 µm,","Bifusella superba_125660","Ascospores","35-40 x 6-7,5","35-40","6-7.5",NA,37.5,6.75
"ascospores present in 12 to 14 days; asci apparently arising as branches from fertile hyphae, not in chains (figs, 156D and 157E), oblong to spherical, about 15 µm","Byssochlamys striata_115212","ascospores","15","15",NA,NA,15,15
"ascospores comparatively large, elliptical, with over-all dimensions ranging from 7.0 to 8.5 by 5.0 to 6.0 µm,","Byssochlamys striata_115212","ascospores","6.0","6.0",NA,NA,6,6
"Ascospores aggregated in the upper third of the ascus, hyaline, guttulate, fusoid with rounded ends, straight to slightly curved, (1)-3-septate, not or slightly constricted at the septa, (38-)45-55(-60)-(4.5-)5-6(-7) µm","Calonectria spathulata_125666","Ascospores","(38-)45-55(-60) x (4.5-)5-6(-7)","45-55","5-6",NA,50,5.5
"Ascospores hyaline, straight or falcate, 1 (-3)-septata, not or slightly constricted at central septum, (25-) 39,5 (-48) x (4,5-) 5 (-6,5) µm.","Calonectria spathulata_125666","Ascospores","(25-) 39,5 (-48) x (4,5-) 5 (-6,5)","39.5","5",NA,39.5,5
"Ascospores 1-3 seriate, ovoidal, ellipsoidal or biconical, sometimes curved, one-celled, 14-24 x 5-12, usually 16-20 x 6-9 µm,","Discochora philoprina_143824","Ascospores","16-20 x 6-9","16-20","6-9",NA,18,7.5
"Ascospores ellipsoid, 3-septate, 13-16 x 3-4 µm.","Fellhanera rhapidophylli_194071","Ascospores","13-16 x 3-4","13-16","3-4",NA,14.5,3.5
"Ascospores 1-septate, with constriction at septum, 12-15 x 4-5 µm.","Fellhanera semecarpi_192954","Ascospores","12-15 x 4-5","12-15","4-5",NA,13.5,4.5
"ascospores hyaline, elliptical, thick walled, without equatorial ridges or trace of furrow, conspicuously spiny, with spines up to 2 µm","Hamigera spinulosa_115257","ascospores","2","2",NA,NA,2,2
"Ascospores colourless, thin-walled, aseptate, smooth, threadlike, slightly tapered towards the base, 77-88 x 1-1,5 µm,","Lophodermium himalayense_125853","Ascospores","77-88 x 1-1,5","77-88","1-1.5",NA,82.5,1.25
"ascospores have been released. Ascospores colourless, thin-walled, smooth, aseptate, bifusiform to cylindric-bifusiform, guttulate, 20-29 x 3-5 µm,","Meloderma sharmarum_125862","ascospores","20-29 x 3-5","20-29","3-5",NA,24.5,4
"Ascospores colourless, thin-walled, smooth, aseptate, bifusiform to cylindric-bifusiform, guttulate, 20-29 x 3-5 µm,","Meloderma sharmarum_125862","Ascospores","20-29 x 3-5","20-29","3-5",NA,24.5,4
"ascospores (2-)4-6 (-7), ellipsoid-ovoid (-subglobose),16-26(-30) x 9.5-15(-17.5) µm.","Trichocladia hedysari_374282","ascospores","),16-26(-30) x 9.5-15(-17.5)","16-26","9.5-15",NA,21,12.25
"ascospores can be seen, 25-55 x ca 1 µm,","Vladracula annuliformis_144483","ascospores","1","1",NA,NA,1,1
"Ascospores arranged in one or two rows within the ascus, 12-21 x 4,5-5,5 µm,","Vladracula annuliformis_144483","Ascospores","12-21 x 4,5-5,5","12-21","4.5-5.5",NA,16.5,5
"ascospores are sharply fusoid, sometimes sigmoid, becoming short-clavate, slightly flattened on one side, early 3-transeptate (4-segmented) when longitudinal septa are formed, then 5-transeptate and remaining so for practically all spores seen; forming a single longitudinal septum through each of the 2 original central segments and rarely but definitely a second one longitudinally through either the upper central segment or the lower one (not seen in both concurrently); sometimes (uncommonly) forming a single vertical or oblique septum in the distal quarter of the mature ascospore; at full development, yellow-brown becoming gold-brown, with darker walls and septa (initial median septum often appearing weak and almost hyaline), 19-22 x 7-8 µm,","Alternaria infectoria_30359","ascospores",")19-22 x 7-8","19-22","7-8",NA,20.5,7.5
"ascospores oblong, conglobate, uniseptate, constricted at the septum, 10-20 x 9-11 µm.","Clypeolella tectonae_126078","ascospores","10-20 x 9-11","10-20","9-11",NA,15,10
"Ascospores light greenish hyaline to light green, obovoid to ellipsoid, 11-13 x (3.0-) 3.5-4(-4.5) µm,","Hormotheca plantaginis_144257","Ascospores","11-13 x (3.0-) 3.5-4(-4.5)","11-13","3.5-4",NA,12,3.75
"Ascospores greenish to olive-brown, clavate to broadly ellipsoid, 12-16 x 4.5-7.5 µm,","Hormotheca rubicola_144811","Ascospores","12-16 x 4.5-7.5","12-16","4.5-7.5",NA,14,6
"Ascospores distichously arranged in the asci, ellipsoid, rounded at the apices, 1-septate, the lower cell often somewhat smaller, slightly constricted at the septum, brown to dark brown, verruculose, not guttulate, lacking a distinct gelatinous sheath, 22-26 x 8-11 µm.
Anamorph:","Kirschsteiniothelia acerina_126692","Ascospores","22-26 x 8-11","22-26","8-11",NA,24,9.5
"Ascospores 30-35 x 10-12 µm,","Kirschsteiniothelia aethiops_46414","Ascospores","30-35 x 10-12","30-35","10-12",NA,32.5,11
"Ascospores distichously arranged in the asci, ellipsoid, rounded or somewhat constricted at the apices, 1septate, the upper cell usually larger in size, somewhat constricted at the septum, brown, sometimes appearing almost smooth but at high magnification (x 1500) a delicate verruculose ornamentation is evident, not guttulate, lacking a distinct gelatinous sheath, (21-)25-33(-38) x (7.5-)8.5-12.0(-14.0) µm.
Anamorph:","Kirschsteiniothelia aethiops_46414","Ascospores","(21-)25-33(-38) x (7.5-)8.5-12.0(-14.0)","25-33","8.5-12.0",NA,29,10.25
"Ascospores distichously arranged in the asci, elongate-ellipsoid, 1-septate, constricted at the septum, the apices tending to be attenuated, pale brown, almost smooth but sometimes with a very sparse verruculose ornamentation, lacking a distinct gelatinous sheath, (13.5-)15-19(-21) x 5-6(-7.5) µm.
Anamorph:","Kirschsteiniothelia maritima_47077","Ascospores","(13.5-)15-19(-21) x 5-6(-7.5)","15-19","5-6",NA,17,5.5
"Ascospores distichously arranged in the asci, elongate-ellipsoid, rounded at the apices, 1-septate, cells equal in size or the lower slightly smaller, slightly constricted at the septum, pale brown, almost smooth or with a very weak verruculose ornamentation, not guttulate, lacking a distinct gelatinous sheath, (14-)15-17.5 x 5-6.5(-7) µm.
Anamorph:","Kirschsteiniothelia recessa_165851","Ascospores","(14-)15-17.5 x 5-6.5(-7)","15-17.5","5-6.5",NA,16.25,5.75
"Ascospores overlappinguniseriately arranged in the asci, ellipsoid to somewhat soleiform, 1-septate, constricted at the septum or scarcely so, the cells equal in size or the lower slightly smaller, apices rounded, reddish-brown, slightly granular at first but finally with up to five longitudinal or sinuate furrows visible in face view at high magnifications using light microscopy, lacking a distinct gelatinous sheath, (14-)l5-18(-19) x 5.0-6.5 µm.
Anamorph:","Kirschsteiniothelia striatispora_186098","Ascospores","5-18(-19) x 5.0-6.5","5-18","5.0-6.5",NA,11.5,5.75
"Ascospores irregularly to distichously arranged in the asci, elongate-ellipsoid, slightly attenuated towards the apices, 1-septate, the cells mainly equal in size, the lower cell sometimes somewhat smaller, dark brown, apparently smooth walled, often guttulate, without a distinct gelatinuous sheath, (29-)36-50(-55) x (12-)15-17(-19) µm.
Anamorph:","Kirschsteiniothelia thujina_193914","Ascospores","(29-)36-50(-55) x (12-)15-17(-19)","36-50","15-17",NA,43,16
"ascospores are fusoid to clavate or subellipsoid, inequilateral, early 3-transeptate (4-segmented), at which stage an initial longiseptum is laid down in each of the 2 central segments; 1 transeptum is added in each central segment, yielding a basically 5-transeptate spore with 1 series of longisepta in central segments. A high percentage of spores remain with this septation, but others add a single longitudinal or oblique septum in one or both of the end segments, rarely a 6th transeptum in the bottom segment of the spore, and sometimes a second longitudinal series in the widest central segment(s). At full development ascospores are 19-21 x 8-9.5 µm,","Lewia ethzedia_30349","ascospores","19-21 x 8-9.5","19-21","8-9.5",NA,20,8.75
"ascospores are 19-21 x 8-9.5 µm,","Lewia ethzedia_30349","ascospores","19-21 x 8-9.5","19-21","8-9.5",NA,20,8.75
"ascospores are sharply fusoid, sometimes sigmoid, becoming short-clavate, slightly flattened on one side, early 3-transeptate (4-segmented) when longitudinal septa are formed, then 5-transeptate and remaining so for practically all spores seen; forming a single longitudinal septum through each of the 2 original central segments and rarely but definitely a second one longitudinally through either the upper central segment or the lower one (not seen in both concurrently); sometimes (uncommonly) forming a single vertical or oblique septum in the distal quarter of the mature ascospore; at full development, yellow-brown becoming gold-brown, with darker walls and septa (initial median septum often appearing weak and almost hyaline), 19-22 x 7-8 µm,","Lewia infectoria_30360","ascospores",")19-22 x 7-8","19-22","7-8",NA,20.5,7.5
"ascospores are ellipsoid to clavate, inequilateral, slightly pigmented at 1-cell stage and markedly yellow-tan by the time the initial median septum is formed. The locus of the first (median) septum is hyaline, contrasting with the developing pigment of the spore. The fragile appearance of the median septum is in strong contrast to the two transverse septa formed next, which already are dark at the 3-septate (4 segment) stage, as is the spore outer wall. Ascospores become 6-7 transeptate, with 1 or frequently 2 series of longisepta through both central segments, usually with oblique or Y-form septa in the top segment, and commonly the same pattern in the bottom segment of the spore. Fully developed ascospores are strong golden brown with darker septa and outer wall, 21-22.5 x 11-13 µm,","Lewia photistica_30366","ascospores","21-22.5 x 11-13","21-22.5","11-13",NA,21.75,12
"Ascospores become 6-7 transeptate, with 1 or frequently 2 series of longisepta through both central segments, usually with oblique or Y-form septa in the top segment, and commonly the same pattern in the bottom segment of the spore. Fully developed ascospores are strong golden brown with darker septa and outer wall, 21-22.5 x 11-13 µm,","Lewia photistica_30366","Ascospores","21-22.5 x 11-13","21-22.5","11-13",NA,21.75,12
"ascospores are strong golden brown with darker septa and outer wall, 21-22.5 x 11-13 µm,","Lewia photistica_30366","ascospores","21-22.5 x 11-13","21-22.5","11-13",NA,21.75,12
"ascospores fusoid, obovoid, subellipsoid, inequilateral (almost flat on one side), early 3-transeptate (4-segmented), at which time initial longisepta are formed, then basically 5-and at maturity 5-6-7-transeptate; forming a single longitudinal septum completely through each of the 2 original central segments, then an oblique one in the apical (rarely basal) segment, a secondary oblique (yielding a Y-formation), and quite frequently a second series of longitudinal septa through the subapical spore segment and, fairly often, in both of the central quarter segments; yellow-brown becoming gold-brown, with slightly darker walls and septa (except for the initial median septum, which often appears fragile and almost hyaline); at full development, 23-25(-30) x 8-9 µm,","Lewia scrophulariae_30346","ascospores","23-25(-30) x 8-9","23-25","8-9",NA,24,8.5
"Ascospores spherical, 2-3 µm","Nannizziopsis vriesii_181361","Ascospores","2-3","2-3",NA,NA,2.5,2.5
"Ascospores ellipsoidal, 1-septate, not constricted, inconspicuously echinulate, 13-15 x 5-6.5 µm.
Synnemata","Nectria australiensis_126259","Ascospores","13-15 x 5-6.5","13-15","5-6.5",NA,14,5.75
"Ascospores 2-celled, sometimes slightly constricted at septum, ellipsoidal, uneven in outline, 14-21 x 5-9 µm,","Nectria mauritiicola_25948","Ascospores","14-21 x 5-9","14-21","5-9",NA,17.5,7
"Ascospores ellipsoid to narrowly ovoid, usually with two oil drops, (5.5-)6.5(-7) x 3-3.5(-4) µm;","Ombrophila pura_416203","Ascospores","(5.5-)6.5(-7) x 3-3.5(-4)","6.5","3-3.5",NA,6.5,3.25
"Ascospores 1-septate, ellipsoidal to naviculate, minutely to distinctly echinulate, hyaline, white in mass, (7-)8-12 x 3-4 µm,","Sphaerostilbella novae-zelandiae_30699","Ascospores","(7-)8-12 x 3-4","8-12","3-4",NA,10,3.5
"Ascospores mostly ellipsoid, occasionally broad ellipsoid, yellow-brown at maturity, 20-45 x 18-30 µm","Tuber taiyuanense_126364","Ascospores","20-45 x 18-30","20-45","18-30",NA,32.5,24
"Ascospores fasciculate, 60-86 x 0.6-0.8 µm,","Coccomyces mucronatus_126528","Ascospores","60-86 x 0.6-0.8","60-86","0.6-0.8",NA,73,0.7
"Ascospores filiform, colourless, helically coiled in the ascus and often straightening at one or both ends, commonly tapering at both ends but more so at the base, sometimes with a truncate apex, with a mucilaginous sheath up to 4 µm","Cochliobolus tuberculatus_126530","Ascospores","4","4",NA,NA,4,4
"Ascospores curved, aseptate, hyaline, invested in a sheath, 6-11 x 2-4 µm","Leptographium huntii_115106","Ascospores","6-11 x 2-4","6-11","2-4",NA,8.5,3
"Ascospores elliptic toovate, hyaline, 20-30 x 10-12 µm.
Hosts:","Microsphaera polygoni_134327","Ascospores","20-30 x 10-12","20-30","10-12",NA,25,11
"Ascospores distichously arranged in the asci, ellipsoid, rounded at the apices, 1-septate, the lower cell often somewhat smaller, slightly constricted at the septum, brown to dark brown, verruculose, not guttulate, lacking a distinct gelatinous sheath, 22-26 x 8-11 µm.
Anamorph:","Microthelia acerina_126693","Ascospores","22-26 x 8-11","22-26","8-11",NA,24,9.5
"Ascospores hyaline, tapering at both ends, two celled with the upper cell slightly broader than the lower. Conidiomata mainly subepidermal, amphigenous, ranging in size from rudimentary to 30 µm","Mycosphaerella henningsii_110975","Ascospores","30","30",NA,NA,30,30
"Ascospores 2-3 ´ 1-2 µm,","Pleurostoma ootheca_162798","Ascospores","2-3  x  1-2","2-3","1-2",NA,2.5,1.5
"Ascospores 6.5-8 x 1.5-2 µm","Scoptria discreta_155389","Ascospores","6.5-8 x 1.5-2","6.5-8","1.5-2",NA,7.25,1.75
"Ascospores hyaline, simple, ellipsoid, 6-11 x 3-5 µm","Lecanora scotopholis_195017","Ascospores","6-11 x 3-5","6-11","3-5",NA,8.5,4
"ascospores (2-)4-6 (-7), ellipsoid-ovoid (-subglobose),16-26(-30) x 9.5-15(-17.5) µm.","Microsphaera hedysari_127141","ascospores","),16-26(-30) x 9.5-15(-17.5)","16-26","9.5-15",NA,21,12.25
"Ascospores reniform, almost hat-shaped, aseptate, hyaline, invested in a sheath, 3-4 x 1-2 µm,","Ophiostoma francke-grosmanniae_18036","Ascospores","3-4 x 1-2","3-4","1-2",NA,3.5,1.5
"Ascospores hyaline, muriform, 50-80 x 15-30 µm.","Calenia aspidota_195684","Ascospores","50-80 x 15-30","50-80","15-30",NA,65,22.5
"Ascospores brown, oblong to reniform, occasionally septate, 12-16(-18) x 4.5-5 (fig. 5). 
Colonies on PDA-tet with light orange to white-gray masses and irregular margins, forming mycelium protrusions with age. Conidia in bright orange masses, allantoid to banana shape, (7.5-)9-14(-20) x 1-1.5 µm","Cryptosphaeria pullmanensis_127227","Ascospores","(7.5-)9-14(-20) x 1-1.5","9-14","1-1.5",NA,11.5,1.25
"ascospores 2(-3), ellipsoid-ovoid, (15-)18-25(-28) x (10-)11-17 µm.","Erysiphe californica_127270","ascospores","(15-)18-25(-28) x (10-)11-17","18-25","11-17",NA,21.5,14
"ascospores 5-8, ellipsoid-ovoid (-subglobose), 16-22.5 x 9-14.5 µm.","Erysiphe poeltii_127277","ascospores",")16-22.5 x 9-14.5","16-22.5","9-14.5",NA,19.25,11.75
"Ascospores straight to s-shaped, hyaline, (38-)40-57 x 2 µm.","Lachnum abnorme_47073","Ascospores","(38-)40-57 x 2","40-57","2",NA,48.5,2
"Ascospores narrowly fusiform, cylindrical, usually slightly curved, occasionally becoming 3-septate, (30-)32-43 x 2.5-3 µm.","Lachnum brasiliense_143603","Ascospores","(30-)32-43 x 2.5-3","32-43","2.5-3",NA,37.5,2.75
"Ascospores fusiform, 31-40 x 1.5-2 µm","Lachnum cyphelloides_145629","Ascospores","31-40 x 1.5-2","31-40","1.5-2",NA,35.5,1.75
"ascospores ellipsoid-ovoid, 16-26.5 x 10-16 µm.","Microsphaera thermopsidis_127391","ascospores","16-26.5 x 10-16","16-26.5","10-16",NA,21.25,13
"Ascospores multiseriate, colorless, straight, fusiform to clavate, with the widest point in the upper half of the apical cell, 1-septate, without a constriction at the median septum, 16-25 x 3-5 µm.","Mycosphaerella delegatensis_127414","Ascospores","16-25 x 3-5","16-25","3-5",NA,20.5,4
"Ascospores multiseriate, hyaline, straight, fusiform to clavate, with the widest point in the upper half of the apical cell, 1-septate, without a constriction at the median septum, 16-25 x 3-5 µm.","Mycosphaerella delegatensis_127414","Ascospores","16-25 x 3-5","16-25","3-5",NA,20.5,4
"Ascospores 2-3-seriate, colorless, guttulate, straight or slightly curved, fusiform, 1-septate, widest just above median septum, slightly constricted at septum, 20-27 x 4-6 µm.","Mycosphaerella swartii_127417","Ascospores","20-27 x 4-6","20-27","4-6",NA,23.5,5
"Ascospores 2-3 seriate, hyaline, guttulate, straight or slightly curved, fusiform, 1-septate, widest just above the median septum, with a slight constriction at the septum, 20-27 x 4-6 µm.","Mycosphaerella swartii_127417","Ascospores","20-27 x 4-6","20-27","4-6",NA,23.5,5
"Ascospores 2-3-seriate, colorless, guttulate, straight or slightly curved, fusiform, 1-septate, widest just above median septum, slightly constricted at septum, 19-27 x 4-6 µm.","Mycosphaerella walkeri_127418","Ascospores","19-27 x 4-6","19-27","4-6",NA,23,5
"Ascospores 2-3 seriate, hyaline, guttulate, straight or slightly curved, fusiform, 1-septate, widest just above the median septum, with a slight constriction at the septum, 19-27 x 4-6 µm.","Mycosphaerella walkeri_127418","Ascospores","19-27 x 4-6","19-27","4-6",NA,23,5
"Ascospores orange-segment shaped, aseptate, hyaline, invested in a sheath, 5.2-7 x 2.2-3.2 µm","Ophiostoma dryocoetidis_18029","Ascospores","5.2-7 x 2.2-3.2","5.2-7","2.2-3.2",NA,6.1,2.7
"Ascospores hat-shaped, aseptate, hyaline, invested in a sheath, 3-4 x 1.5-2 µm","Ophiostoma huntii_18041","Ascospores","3-4 x 1.5-2","3-4","1.5-2",NA,3.5,1.75
"Ascospores flagelliform or filiform, colourless, tapering towards both ends, 6-13-septate, 125-215 x 2,5-6,5 µm,","Pseudocochliobolus pallescens_127478","Ascospores","125-215 x 2,5-6,5","125-215","2.5-6.5",NA,170,4.5
"ascospores 19-26 x 10-14 µm,","Rhizocarpon inimicum_127494","ascospores","19-26 x 10-14","19-26","10-14",NA,22.5,12
"ascospores hyaline, simple, ellipsoid, 9-12(-13) x 4-5.5 µm,","Clauzadea monticola_196835","ascospores","9-12(-13) x 4-5.5","9-12","4-5.5",NA,10.5,4.75
"ascospores hyaline, simple, ellipsoid, 17.5-22 x 7-8 µm,","Porpidia tuberculosa_199735","ascospores","17.5-22 x 7-8","17.5-22","7-8",NA,19.75,7.5
"Ascospores multiseptate, hyaline, smooth, disarticulating at middle septum; part-ascospores lanceolate, multiseptate, (44.0-)48.5-57.5(-68.0) x 2.0-2.5 µm.","Atricordyceps harposporifera_30784","Ascospores","(44.0-)48.5-57.5(-68.0) x 2.0-2.5","48.5-57.5","2.0-2.5",NA,53,2.25
