"text_entry","spec","spore_type","measure_orig","Dim1","Dim2","Dim3"
"chlamydospores fairly common, terminal or intercalary, 4.3-7.3 x3.04.9 µm.","Bjerkandera adusta_3129_7288","chlamydospores","4.3-7.3 x3.04.9",5.8,NA,NA
"Chlamydospores ellipsoidal, up to 10 µm","Bjerkandera adusta_3129_25011","Chlamydospores","10",10,NA,NA
"Chlamydospores globose to limoniform, 8-12(-29) x 8-15 µm,","Acia fuscoatra_69768_1725","Chlamydospores","8-12(-29) x 8-15",12,11.5,NA
"chlamydospores fairly numerous in some isolates, usually found lying free in preparations for microscopie examination, thin-walled, 4.5-7.5 x 2.2-4.5 µm.","Hansenia versicolor_69937_752","chlamydospores","4.5-7.5 x 2.2-4.5",6,3.35,NA
"chlamydospores but which remain thin-walled and eventually become empty and collapsed; (b) fiber hyphae rare except in fruit bodies, with walls thick and refractive, lumina narrow or apparently lacking, rarely branched, aseptate, 1.5-3.0 µm","Piptoporus betulinus_21844_713","chlamydospores","1.5-3.0",2.25,NA,NA
"chlamydospores fairly numerous to rare, terminal and intercalary, thin-walled, 6.0-12.0 x 4.5-7.5(-9.0) µm.","Hansenia zonata_69943_754","chlamydospores","6.0-12.0 x 4.5-7.5(-9.0)",9,7.5,NA
"Chlamydospores globose to oblong or limoniform, 9-12 x 9-11 µm,","Veluticeps berkleyi_70100_1833","Chlamydospores","9-12 x 9-11",10.5,10,NA
"chlamydospores de 30 µm","Rhizopus maydis_36406_243","chlamydospores","30",30,NA,NA
"Chlamydospores rare in feeding mycelium. Yeast cells absent. Zygosporangia globose to applanate, smooth, hyaline to greyish when young, pale chestnut to dark brown when mature, 42-69(-81) x 37-69(-80) µm,","Tieghemella spinosa_203232_52496","Chlamydospores","42-69(-81) x 37-69(-80)",69,69,NA
"Chlamydospores abundant, hyaline to brown, spherical, 6-9 µm","Bactridium lichenicola_415365_11724","Chlamydospores","6-9",7.5,NA,NA
"chlamydospores numerous in some isolates, rare or lacking in the remainder, usually limited to the advancing zone, especially in mycelium that is grown against wall of Petri dish remote from inoculum, terminal and intercalary, with walls thin or slightly thickened, 6.0-18.0 x 6.0-9.0 µm,","Fomitopsis pinicola_10460_683","chlamydospores","6.0-18.0 x 6.0-9.0",12,7.5,NA
"chlamydospores as described above in a few isolates. Submerged mycelium: (a) hyphae as in advancing zone, but more frequently branched, up to 9.0 µm","Fomitopsis pinicola_10460_683","chlamydospores","9.0",9,NA,NA
"chlamydospores hyaline, slightly thick-walled, oval, 6.0-12.0 x 5.31-8.2 µm,","Fomitopsis pinicola_10460_7390","chlamydospores","6.0-12.0 x 5.31-8.2",9,6.755,NA
"chlamydospores rare or apparently lacking, intercalary and terminal, thin-walled, 9.0-13. 5 x 6.0-7.5 µm.","Favolus arcularius_35998_710","chlamydospores","9.0-13. 5 x 6.0-7.5",11.25,6.75,NA
"chlamydospores numerous in most isolates, intercalary and terminal, thin-walled, the contents staining in phloxine, often granular, 6.3-11.9 x 4.9-8.4 µm","Microporus sanguineus_69858_797","chlamydospores","6.3-11.9 x 4.9-8.4",9.1,6.65,NA
"chlamydospores fairly common, slightly thick-walled, terminal as well as intercalary, 5.1-13.5 x 4.9-9.8 µm.","Microporus sanguineus_69858_7319","chlamydospores","5.1-13.5 x 4.9-9.8",9.3,7.35,NA
"chlamydospores hyaline to yellow, terminal to intercalary, thin to slightly thick-walled, round to elliptical, 6.1-7.7 µm","Pyropolyporus pectinatus_71255_7388","chlamydospores","6.1-7.7",6.9,NA,NA
"Chlamydospores sometimes formed, terminal and intercalary, subglobose to globose, (7-)10-13(-16) µm","Phymatotrichum hamatum_118872_17722","Chlamydospores","(7-)10-13(-16)",11.5,NA,NA
"Chlamydospores observed on submerged hyphae, intercalary, subglobose, 12-14 µm","Hypomyces australis_44968_23948","Chlamydospores","12-14",13,NA,NA
"Chlamydospores terminal and intercalary, mostly in chains or clusters, hyaline to pale brown, 5-12 x 4-8 µm","Fusarium napiforme_47012_18627","Chlamydospores","5-12 x 4-8",8.5,6,NA
"chlamydospores very numerous even near margin, intercalary and terminal, with walls slightly thickened, globose to ovoid, 6.0-12.0 µm","Tyromyces galactinus_22438_730","chlamydospores","6.0-12.0",9,NA,NA
"Chlamydospores developing in mature cultures (>14 days) in submerged and aerial mycelium, abundant, terminal and intercalary, single, more often in pairs, clusters or chains, 6-22 µm","Fusarium polyphialidicum_40004_18661","Chlamydospores","6-22",14,NA,NA
"chlamydospores hyaline, slightly thick-walled, single or in chains, terminal or intercalary, always with a small clamp connection at base, of various shapes, ovoid, elliptical, or even cylindrical, 6.5-43 x 3.2-7.8 µm","Coriolopsis sprucei_65139_2240","chlamydospores","6.5-43 x 3.2-7.8",24.75,5.5,NA
"Chlamydospores spherical to limoniform, 6-18(-25) ?m diam, or cylindrical, 7-16 x 2.5-4 µm,","Phanerochaete magnoliae_64546_1758","Chlamydospores","7-16 x 2.5-4",11.5,3.25,NA
"chlamydospores terminal or intercalary, with medium hyaline walls, subglobose, obovate, or oblong, 11-16.5 x 6.5-13 µm","Postia angulipora_30678_41032","chlamydospores","11-16.5 x 6.5-13",13.75,9.75,NA
"Chlamydospores barrel-shaped or globose, mostly 8-21 x 6-17 µm,","Dactylella gampsospora_7865_16103","Chlamydospores","8-21 x 6-17",14.5,11.5,NA
"Chlamydospores in chains, 8-15 x 3-13 µm","Dactylella haptotyla_7869_16105","Chlamydospores","8-15 x 3-13",11.5,8,NA
"Chlamydospores forming singly or, more typically, in chains, with cells globose, hyaline to pale brown, 7-15 µm","Fusarium dlaminii_40101_18618","Chlamydospores","7-15",11,NA,NA
"Chlamydospores globose to limoniform, 11.5-13.5 (-16) x 7.5-13.5 (-16) µm,","Gelatoporia subvermispora_65244_3918","Chlamydospores","11.5-13.5 (-16) x 7.5-13.5 (-16)",13.5,13.5,NA
"chlamydospores rare to fairly numerous, walls relatively thick and not stained in phloxine, contents deeply stained, globose to broadly ovoid, 10.5-16.5 x 7.5-13.5 µm.","Neolentinus lepideus_36679_696","chlamydospores","10.5-16.5 x 7.5-13.5",13.5,10.5,NA
"Chlamydospores present, globose, 12-21 µm","Phlebia concentrica_63858_1215","Chlamydospores","12-21",16.5,NA,NA
"Chlamydospores globose, 10-25(-58) µm","Phlebia concentrica_63858_1217","Chlamydospores","10-25(-58)",25,NA,NA
"Chlamydospores globose, 12-50 µm","Phlebia concentrica_63858_1768","Chlamydospores","12-50",31,NA,NA
"Chlamydospores present, globose, 12-21 µm","Pirex concentricus_51974_1215","Chlamydospores","12-21",16.5,NA,NA
"Chlamydospores globose, 10-25(-58) µm","Pirex concentricus_51974_1217","Chlamydospores","10-25(-58)",25,NA,NA
"Chlamydospores globose, 12-50 µm","Pirex concentricus_51974_1768","Chlamydospores","12-50",31,NA,NA
"Chlamydospores arising in conidial or hyphal cells, mostly globose to ellipsoid, smooth, 9.5-14 x (5-)8-9.5 µm.","Pseudozyma prolifica_33291_46872","Chlamydospores","9.5-14 x (5-)8-9.5",11.75,8,NA
"chlamydospores moderate in number, intercalary, typically ovoid, occasionally spherical to elongate, staining, with medium hyaline walls, 11.5-16 x 7.5-10.5 µm;","Antrodia alpina_36354_7543","chlamydospores","11.5-16 x 7.5-10.5",13.75,9,NA
"chlamydospores are brown, globose, 24.5-35.0 x 22-32.5 µm","Ascorhizoctonia hiemalis_43022_30617","chlamydospores","24.5-35.0 x 22-32.5",29.75,27.25,NA
"Chlamydospores globose to limoniform, 11.5-13.5 (-16) x 7.5-13.5 (-16) µm,","Ceriporiopsis subvermispora_36371_3918","Chlamydospores","11.5-13.5 (-16) x 7.5-13.5 (-16)",13.5,13.5,NA
"Chlamydospores globose to limoniform, 13.5-16 x 9-12 µm,","Crustoderma testatum_65287_1623","Chlamydospores","13.5-16 x 9-12",14.75,10.5,NA
"Chlamydospores globose to limoniform, 13.5-16 x 9-12 µm,","Crustoderma testatum_65287_3406","Chlamydospores","13.5-16 x 9-12",14.75,10.5,NA
"chlamydospores rare, intercalary and terminal, thin-walled, 10.5-19.5 x 7.5-12.0 µm.","Fomitopsis palustris_36346_739","chlamydospores","10.5-19.5 x 7.5-12.0",15,9.75,NA
"chlamydospores as in aerial mycelium, fairly numerous; (c) broad hyphae with walls slightly thickened, nodose-septate but with clamp connections frequently distorted, contents staining deeply in phloxine, 7.5-9.0(-15.0) µm","Fomitopsis palustris_36346_739","chlamydospores","7.5-9.0(-15.0)",9,NA,NA
"chlamydospores terminal or intercalary, with medium hyaline walls, subglobose, obovate, or oblong, 11-16.5 x 6.5-13 µm","Oligoporus anguliporus_63561_41032","chlamydospores","11-16.5 x 6.5-13",13.75,9.75,NA
"chlamydospores numerous, intercalary or terminal, the latter occurring singly or in spray like clusters, when immature thin-walled, hyaline, with contents staining in phloxine, then thicker-walled with buffy-brown contents, 7.5-16.5 x 4.5-9.0 µm.","Oligoporus balsameus_63648_711","chlamydospores","7.5-16.5 x 4.5-9.0",12,6.75,NA
"chlamydospores moderate in number, intercalary, typically ovoid, occasionally spherical to elongate, staining, with medium hyaline walls, 11.5-16 x 7.5-10.5 µm;","Amyloporiella alpina_63516_7543","chlamydospores","11.5-16 x 7.5-10.5",13.75,9,NA
"Chlamydospores were observed on the natural substrate, brown, 9-10.5 x 6.5-7.0 µm.","Dictyochaeta clavulata_179375_15076","Chlamydospores","9-10.5 x 6.5-7.0",9.75,6.75,NA
"chlamydospores round, terminal, slightly thick-walled, 7.70-10.12 µm","Fomitiporia robusta_36947_7394","chlamydospores","7.70-10.12",8.91,NA,NA
"Chlamydospores globose to subglobose, 6-12.5 x 5-9 µm,","Microdochium lunatum_158985_31370","Chlamydospores","6-12.5 x 5-9",9.25,7,NA
"Chlamydospores globose to limoniform, 10-18 x 7-14(-18) µm,","Phlebia tremellosa_65315_1777","Chlamydospores","10-18 x 7-14(-18)",14,14,NA
"Chlamydospores thin-walled, globose to oval, 10-13 x 7-10 arising from inflated hyphal segments, up to 10 µm","Phlebia tremellosa_65315_13337","Chlamydospores","10",10,NA,NA
"chlamydospores numerous, terminal and intercalary, globose to ovoid with walls noticeably thick and often appearing sculptured, 10.5-16.5 x 7.5-12.0 µm;","Poria fraxinea_64162_674","chlamydospores","10.5-16.5 x 7.5-12.0",13.5,9.75,NA
"Chlamydospores in the tubes and context, globose to subglobose, terminal or intercalary, thick-walled, dextrinoid, cyanophilous, 7.0-11 mm in diam, (average 9.0 µm,","Poria mesoleuca_64597_623","Chlamydospores","9.0",9,NA,NA
"Chlamydospores scattered in tramal tissue of some specimens; subglobose to ovoid, thick-walled, yellowish brown, 5-5.5 µm","Porodaedalea chrysoloma_63813_4078","Chlamydospores","5-5.5",5.25,NA,NA
"Chlamydospores scattered in tramal tissue of some specimens; subglobose, ovoid, thick-walled, yellowish brown, 5-5.5 µm","Porodaedalea chrysoloma_63813_44528","Chlamydospores","5-5.5",5.25,NA,NA
"chlamydospores numerous, intercalary and terminal, walls slightly thickened, broadly ovoid, 9.0-16.5 x 7.5-12.0 µm.","Antrodia carbonica_36630_756","chlamydospores","9.0-16.5 x 7.5-12.0",12.75,9.75,NA
"Chlamydospores subglobose-citriform, 12-16 x 10-14 µm,","Crustoderma longicystidiatum_64492_38949","Chlamydospores","12-16 x 10-14",14,12,NA
"Chlamydospores in multitude in the type specimen, formed in the end of vertical hyphae in the hymenium; at first rounded, claviform or fusiform and finally loosening, then rounded or angular, thick-walled, with one or more oildrops; young chlamydospores grey in Melzer; mature ones 12-15 x 7-10 µm.","Crustoderma longicystidiatum_64492_45007","Chlamydospores","12-15 x 7-10",13.5,8.5,NA
"chlamydospores grey in Melzer; mature ones 12-15 x 7-10 µm.","Crustoderma longicystidiatum_64492_45007","chlamydospores","12-15 x 7-10",13.5,8.5,NA
"chlamydospores of Gloeocystidiellum porosum, which, however, are dark brown. Basidia narrowly clavate, 20-30 x 5-6 µm,","Crustoderma longicystidiatum_64492_45007","chlamydospores","20-30 x 5-6",25,5.5,NA
"Chlamydospores globose to ellipsoid, up to 20 µm","Crustoderma marianum_64568_1620","Chlamydospores","20",20,NA,NA
"chlamydospores numerous, composing most of tufted and pored areas, with fairly thick walls, terminal or intercalary, 8.0-13.5 x 6.0-9.0 µm.","Perenniporia compacta_36634_718","chlamydospores","8.0-13.5 x 6.0-9.0",10.75,7.5,NA
"chlamydospores very numerous in most isolates, terminal and intercalary, the walk at first thin, becoming thickened and frequently rough, variable in size and shape, 7.5-21.0 x 4.5-12.0 µm.","Poria asiatica_36306_755","chlamydospores","7.5-21.0 x 4.5-12.0",14.25,8.25,NA
"chlamydospores and azygospores; sporangiophores smooth, erect or ascending, 6-14 µm","Rhizopus azygosporus_45028_237","chlamydospores","6-14",10,NA,NA
"Chlamydospores globose to limoniform, 11.5-13.5 (-16) x 7.5-13.5 (-16) µm,","Spongiporus subvermisporus_65245_3918","Chlamydospores","11.5-13.5 (-16) x 7.5-13.5 (-16)",13.5,13.5,NA
"Chlamydospores present, terminal or intercalary, subglobose to ellipsoidal, thickwalled (up to 2 µm),","Sporotrichum versisporum_87645_964","Chlamydospores","2",2,NA,NA
"chlamydospores and arthrospores (Figs. 2 and 3). Submerged mycelium; hyphae hyaline, thin-walled, simple-septate, occasionally branched, 5-8 µm","Wolfiporia dilatohypha_64002_4536","chlamydospores","5-8",6.5,NA,NA
"chlamydospores numerous, terminal and intercalary, thin-walled, 7.5-12.0 x 6.0-9.0 µm.","Pleurotus tigrinus_65302_697","chlamydospores","7.5-12.0 x 6.0-9.0",9.75,7.5,NA
"chlamydospores x 5-8-(15) µm","Hymenochaete nanospora_49233_43254","chlamydospores"," 5-8-(15)",8,NA,NA
"Chlamydospores broadly ellipsoidal to broadly clavate, about 7.0 x 4.5 µm,","Lecythophora mutabilis_20677_11777","Chlamydospores","7.0 x 4.5",7,4.5,NA
"Chlamydospores terminal or intercalary, solitary or in short chains, hyaline and thin-walled to darkbrown and thick-walled, elongate ellipsoidal or almost globose, 4-10 x 3-6 µm;","Lecythophora mutabilis_20677_16778","Chlamydospores","4-10 x 3-6",7,4.5,NA
"Chlamydospores ellipsoid to broadly ellipsoid or subglobose, intercalary, 10-22 µm","Poitrasia circinans_5132_412","Chlamydospores","10-22",16,NA,NA
"chlamydospores intercalary, hyaline, larger than hyphae, with granular contents, usually solitary, oval in shape, 10-15 x 17-26 µm;","Poitrasia circinans_5132_429","chlamydospores","10-15 x 17-26",12.5,21.5,NA
"Chlamydospores limoniform to fusiform, 12-35 x 8-12 µm,","Cystostereum australe_45343_3575","Chlamydospores","12-35 x 8-12",23.5,10,NA
"chlamydospores subsphériques de 3-6 µm","Boidinia subasperispora_65172_19736","chlamydospores","3-6",4.5,NA,NA
"chlamydospores numerous, terminal and intercalary, globose to ovoid with walls noticeably thick and often appearing sculptured, 10.5-16.5 x 7.5-12.0 µm;","Haploporus fraxineus_64163_674","chlamydospores","10.5-16.5 x 7.5-12.0",13.5,9.75,NA
"Chlamydospores 6-10 µm","Artomyces pyxidatus_35335_47516","Chlamydospores","6-10",8,NA,NA
"Chlamydospores globose to limoniform, 15-30 µm","Crustoderma flavescens_64125_1619","Chlamydospores","15-30",22.5,NA,NA
"Chlamydospores globose, 15-30 µm","Crustoderma flavescens_64125_23054","Chlamydospores","15-30",22.5,NA,NA
"chlamydospores slightly thick-walled, intercalary, oval to cylindrical, 20.1-24.6 x 6.1-10.7 µm.","Daedalea cubensis_63940_7403","chlamydospores","20.1-24.6 x 6.1-10.7",22.35,8.4,NA
"chlamydospores observed once or twice in submerged mycelium, globose, 20-30 µm","Phlebia ludoviciana_64506_3861","chlamydospores","20-30",25,NA,NA
"chlamydospores numerous, intercalary or terminal, the latter occurring singly or in spray like clusters, when immature thin-walled, hyaline, with contents staining in phloxine, then thicker-walled with buffy-brown contents, 7.5-16.5 x 4.5-9.0 µm.","Postia balsamea_54379_711","chlamydospores","7.5-16.5 x 4.5-9.0",12,6.75,NA
"Chlamydospores globose to limoniform, 8-15 x 6-13 µm,","Cerocorticium notabile_64680_1786","Chlamydospores","8-15 x 6-13",11.5,9.5,NA
"chlamydospores hyaline, slightly thick-walled cylindric to elliptical, intercalary, 10.7-12.3 x 3.0-4.6 µm.","Coriolus cingulatus_63824_7401","chlamydospores","10.7-12.3 x 3.0-4.6",11.5,3.8,NA
"chlamydospores rare. Submerged mycelium: (a) hyphae as in advancing zone; (b) chlamydospores numerous, thick-walled, intercalary and terminal, 13.419.5 x 6.3-11.9 µm.","Daedalea ostreiformis_64735_7315","chlamydospores","13.419.5 x 6.3-11.9",NA,9.1,NA
"chlamydospores numerous, thick-walled, intercalary and terminal, 13.419.5 x 6.3-11.9 µm.","Daedalea ostreiformis_64735_7315","chlamydospores","13.419.5 x 6.3-11.9",NA,9.1,NA
"chlamydospores rarely formed, globose, thinto slightly thick-walled, 7.0-10.0 µm","Fomitopsis rufolaccata_65029_7396","chlamydospores","7.0-10.0",8.5,NA,NA
"chlamydospores scattered at 14 days, numerous within 3-4 weeks, developing as vesicular intercalary cells or more often as apical enlargements of hyphal branches, 8-20 µm","Kneiffiella crustosa_63932_40545","chlamydospores","8-20",14,NA,NA
"chlamydospores rare to fairly numerous, walls relatively thick and not stained in phloxine, contents deeply stained, globose to broadly ovoid, 10.5-16.5 x 7.5-13.5 µm.","Panus lepideus_64447_696","chlamydospores","10.5-16.5 x 7.5-13.5",13.5,10.5,NA
"Chlamydospores globose or subglobose, 13-22 x 10-18 µm,","Phlebia brevispora_45346_1765","Chlamydospores","13-22 x 10-18",17.5,14,NA
"chlamydospores arising terminally or intercalary, sub-globose to globose, 11-24 x 9-18µm,","Phlebia brevispora_45346_12676","chlamydospores","11-24 x 9-18",17.5,13.5,NA
"Chlamydospores globose to limoniform, (7-)13-20 x (6-) 11-20 µm,","Crustoderma resinosum_64961_1622","Chlamydospores","(7-)13-20 x (6-) 11-20",13,11,NA
"Chlamydospores globose to limoniform, 13.5-20 x 11.5-20 µm,","Crustoderma resinosum_64961_23059","Chlamydospores","13.5-20 x 11.5-20",16.75,15.75,NA
"Chlamydospores (Figs. 1D, 2D) appear after 3 da. They are single and catenulate and arise terminally, intercalary, or less commonly from clamps. They typically form in large compact clusters behind the margin of the colony and just above or below the agar surface. They are subglobose to globose, 6+-0.4 µm","Cyrenella elegans_7697_6817","Chlamydospores","6+-0.4",6,NA,NA
"chlamydospores binucléés; quelques conidies observées sur frottis du mycélium 11503 A x D sont uninucléées. Oxydases: ac. gallique: + + + + +, 0 ; gaïacol: + + + + +, tr. ; p.-crésol:-tyrosine:-, tr. ;  Code: 2a-3c-15a-15p-25d-33-34-36-38-43 à 44-54-60-63. Caracteres culturaux et cytologiques Spores: binucléées. Monospermes: un petit nombre de spores germe au bout de 4 jours. A 8 jours, les cultures montrent déjà des chlamydospores, x 8-14 µm,","Dichostereum orientale_30924_19111","chlamydospores"," 8-14",11,NA,NA
"Chlamydospores globose to limoniform 10-20 x 7-12 µm,","Dichostereum sordulentum_8346_1642","Chlamydospores","10-20 x 7-12",15,9.5,NA
"chlamydospores numerous, intercalary or terminal, the latter occurring singly or in spray like clusters, when immature thin-walled, hyaline, with contents staining in phloxine, then thicker-walled with buffy-brown contents, 7.5-16.5 x 4.5-9.0 µm.","Spongiporus balsameus_63647_711","chlamydospores","7.5-16.5 x 4.5-9.0",12,6.75,NA
"chlamydospores terminal or intercalary, with medium hyaline walls, subglobose, obovate, or oblong, 11-16.5 x 6.5-13 µm","Fibroporia angulipora_63560_41032","chlamydospores","11-16.5 x 6.5-13",13.75,9.75,NA
"chlamydospores very numerous even near margin, intercalary and terminal, with walls slightly thickened, globose to ovoid, 6.0-12.0 µm","Tyromyces galactinus_64189_730","chlamydospores","6.0-12.0",9,NA,NA
"Chlamydospores not seen; giant cells abundant, 40-60 µm","Mycocladus corymbiferus_162922_13935","Chlamydospores","40-60",50,NA,NA
"Chlamydospores not seen; giant cells very common with irregularly ramified finger-1ike branches, c. 30-38 µm","Mycocladus ramosus_167355_13936","Chlamydospores",". 30-38",34,NA,NA
"Chlamydospores arising singly or in short chains, terminally or intercalary on short lateral branches, initially cubic, later inflating to subglobose, about 13-17 x 12-16 µm,","Dipodascus armillariae_11446_17177","Chlamydospores","13-17 x 12-16",15,14,NA
"chlamydospores rare in aging sporophores and aerial hyphae, intercalary or terminal, subglobose to cylindric, thick-walled, 10-25 µm","Circinomucor bainieri_184285_430","chlamydospores","10-25",17.5,NA,NA
"chlamydospores common in substrate hyphae; azygospores globose or sub-globose, up to 110 µm","Circinomucor bainieri_184285_14979","chlamydospores","110",110,NA,NA
"chlamydospores in and on the substrate, usually few in number; zygospores [CBS 195.68 (+) x CBS 108.16 (-), on whey agar at 25°C] globose to slightly compressed, up to 100 µm","Circinomucor circinelloides_203237_14981","chlamydospores","100",100,NA,NA
"chlamydospores and oidia in submerged mycelium; submerged mycelium containing yellow droplets; zygospores [CBS 116.08 (-) x CBS 198.28 (+), on PDA at 25°C] globose, up to 80 µm","Circinomucor griseocyanus_193504_14983","chlamydospores","80",80,NA,NA
"chlamydospores few in number in young cultures, more numerous in ageing cultures; zygospores [CBS 213.75 (+) x CBS 226.32 (-) on beerwort agar at 24° ] formed in the aerial mycelium in a ladder-1ike fashion, globose or subglobose, up to 85 µm","Circinomucor plumbeus_165015_14987","chlamydospores","85",85,NA,NA
"chlamydospores numerous in sporangiophores, cylindrical to globose at first, globose with a central oil globule in mature sporangiophores, usually single; zygospores [CBS 115.08 (+) x CBS 238.35 (-) on cherry agar at 10°C] in the lower portion of the colony, on hyphae bearing both zygospores and sporangia, globose or nearly so, up to 90 µm","Circinomucor sphaerosporus_35219_14989","chlamydospores","90",90,NA,NA
"Chlamydospores scarce to absent, subglobose 4-9 3 6-9 µm.","Umbelopsis nana_28349_71232","Chlamydospores","4-9 3 6-9",7.5,NA,NA
"chlamydospores and oidia present; zygospores homothallic, formed at a short distance above the substrate on zygophores which are shorter than the sporangiophores, black, globose or nearly so, roughened by broad projections which are often brushlike in outline, up to 80 x 77 µm","Zygorhynchus bacilliformis_177005_15766","chlamydospores","80 x 77",80,77,NA
"chlamydospores intercalary, thick-walled, same diameter as mycelium, granular; oidia globose, at ends of branches in substrate, slightly yellowish, granular, when freed budding as yeast, up to 35 µm","Zygorhynchus bacilliformis_177005_47548","chlamydospores","35",35,NA,NA
"chlamydospores et oïdiospores sont nombreuses. Les chlamydospores sont de deux sortes, les unes cylindriques (mesurant 18 µm","Zygorhynchus indicus_170207_23685","chlamydospores","18",18,NA,NA
"chlamydospores sont de deux sortes, les unes cylindriques (mesurant 18 µm","Zygorhynchus indicus_170207_23685","chlamydospores","18",18,NA,NA
"chlamydospores very abundant, formed in the aerial and substrate hyphae, thick-walled (1-4 µm),","Rhizopus arrhizus var. rouxii_416529_249","chlamydospores","(1-4",2.5,NA,NA
"chlamydospores were never observed; zygospores globose, slightly compressed between the suspensors, brownish, tuberculate, 2,53-55 µm","Cunninghamella echinulata var. elegans_159668_280","chlamydospores","2,53-55",28.765,NA,NA
"chlamydospores which may be terminal or intercalary, same as iv) above. Submerged mycelium formed by: 1) generative hyphae with thin wall, tortuous, much branched with short branches, staining with phloxine , 2-5 µm","Ganoderma subamboinense var. laevisporum_89308_3783","chlamydospores","2-5",3.5,NA,NA
"chlamydospores as above; 3) ""Cuticular cells"" as above. The submerged mycelium in the coloured zone have ""cuticular cells"" with thick, golden walls and sclerotized generative hyphae, 2-8 µm","Ganoderma subamboinense var. laevisporum_89308_3783","chlamydospores","2-8",5,NA,NA
"Chlamydospores rectangular, 56-2000 x 12-50 µm,","Achlya bisexualis var. ambisexualis_215327_14928","Chlamydospores","56-2000 x 12-50",1028,31,NA
"Chlamydospores sometimes developing in the aerial mycelium, solitary, brown, smooth-and thick-walled, 4 x 3.5 µm.","Geomyces pannorum var. asperulatus_11428_15863","Chlamydospores","4 x 3.5",4,3.5,NA
"Chlamydospores with a diameter of 4.5-7 x 3.5-5 µm","Geastrum coronatum f. pseudolimbatum_165852_36624","Chlamydospores","4.5-7 x 3.5-5",5.75,4.25,NA
"Chlamydospores spherical or elliptic, hyaline to light brown, smooth-surfaced, terminal or intercalary; 6.3-12.2 µm","Fusarium oxysporum f.sp. mormodicae_132972_28935","Chlamydospores","; 6.3-12.2",9.25,NA,NA
"chlamydospores numerous (older mycelium consisting mostly of chlamydospores), thick-walled, terminal and intercalary both, usually globose to subglobose, 4.3-9.8 µm","Heteroporus biennis_83248_7293","chlamydospores","4.3-9.8",7.05,NA,NA
"Chlamydospores present in context. hyaline, smooth, subglobose, 7-10 µm","Heteroporus biennis_83248_43855","Chlamydospores","7-10",8.5,NA,NA
"Chlamydospores observed, mostly measuring 4.5-6 x 4-4.5 µm","Geastrum fornicatum_121581_36613","Chlamydospores","4.5-6 x 4-4.5",5.25,4.25,NA
"Chlamydospores limoniform, 10-20 x 7-10 µm,","Vararia pallescens_28672_1641","Chlamydospores","10-20 x 7-10",15,8.5,NA
