"species","spore.length","spore.width","spore.shape2","spore.shape","spore.volume","genus","species2","family","order","class","phylum","SporeName"
"Amylostereum chailletii","7","2.75","2.545454545","Cylindrical","41.57701527","Amylostereum","chailletii","Amylostereaceae","Russulales","Agaricomycetes","Basidiomycota","Basidiospores"
"Amyloxenasma grisellum","5.5","2.75","2","Allantoid","32.66765486","Amyloxenasma","grisellum","Amylocorticiaceae","Boletales","Agaricomycetes","Basidiomycota","Basidiospores"
"Annulohypoxylon multiforme","10","4.75","2.105263158","Ellipsoid","177.2054606","Annulohypoxylon","multiforme","Xylariaceae","Xylariales","Sordariomycetes","Ascomycota","Ascospores"
"Antrodia albobrunnea","5.25","1.65","3.181818182","Allantoid","11.22579412","Antrodia","albobrunnea","Fomitopsidaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Antrodia macra","9.2","3.65","2.520547945","Ellipsoid","96.26389669","Antrodia","macra","Fomitopsidaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Antrodia pulvinascens","6.75","3.15","2.142857143","Ellipsoid","52.60351462","Antrodia","pulvinascens","Fomitopsidaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Antrodia serialis","6.75","2.75","2.454545455","Fusiform","40.09212187","Antrodia","serialis","Fomitopsidaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Antrodia xantha","4.4","1.45","3.034482759","Cylindrical","7.26571841","Antrodia","xantha","Fomitopsidaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Antrodiella pallescens","3.6","1.9","1.894736842","Ellipsoid","10.20703453","Antrodiella","pallescens","Phanerochaetaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Antrodiella romellii","3.75","2.25","1.666666667","Ellipsoid","14.91029326","Antrodiella","romellii","Phanerochaetaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Aphanobasidium pseudotsugae","6.5","3.75","1.733333333","Fusiform","71.79030087","Aphanobasidium","pseudotsugae","Pterulaceae","Agaricales","Agaricomycetes","Basidiomycota","Basidiospores"
"Arachnopeziza aurata","60.5","2.05","29.51219512","Filiform","199.6884648","Arachnopeziza","aurata","Arachnopezizaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Arachnopeziza cf aranea","12","2.5","4.8","Ellipsoid","58.90486225","Arachnopeziza","aranea","Arachnopezizaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Arachnopeziza cornuta","11.6","2.35","4.936170213","Fusiform","50.31339175","Arachnopeziza","cornuta","Arachnopezizaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Arachnopeziza joannea","12.5","2.7","4.62962963","Ellipsoid","71.56940764","Arachnopeziza","joannea","Arachnopezizaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Arachnopeziza sp nov","14.68","3.03","4.844884488","Ellipsoid","105.8525181","Arachnopeziza","sp","Arachnopezizaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Arachnopeziza sp1.","18","4","4.5","Ellipsoid","226.1946711","Arachnopeziza","sp1.","Arachnopezizaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Arachnopeziza sp3.","12.5","3","4.166666667","Ellipsoid","88.35729338","Arachnopeziza","sp3.","Arachnopezizaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Armillaria borealis","7.75","5","1.55","Ellipsoid","152.1708942","Armillaria","borealis","Physalacriaceae","Agaricales","Agaricomycetes","Basidiomycota","Basidiospores"
"Arrhenia epichysium","7.5","4.25","1.764705882","Ellipsoid","106.3969074","Arrhenia","epichysium","Tricholomataceae","Agaricales","Agaricomycetes","Basidiomycota","Basidiospores"
"Artomyces cristatus","7.5","7","1.071428571","Globose","288.633825","Artomyces","cristatus","Auriscalpiaceae","Russulales","Agaricomycetes","Basidiomycota","Basidiospores"
"Artomyces pyxidatus","4.2","2.6","1.615384615","Globose","22.29902466","Artomyces","pyxidatus","Auriscalpiaceae","Russulales","Agaricomycetes","Basidiomycota","Basidiospores"
"Ascocorticium anomalum","4.25","1.75","2.428571429","Ellipsoid","10.22244797","Ascocorticium","anomalum","Ascocorticiaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Ascocoryne cylichnium","22","5.75","3.826086957","Ellipsoid","571.2789891","Ascocoryne","cylichnium","Helotiaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Ascocoryne sarcoides","15","4.5","3.333333333","Ellipsoid","238.5646921","Ascocoryne","sarcoides","Helotiaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Asterodon ferruginosus","6","4","1.5","Ellipsoid","75.39822369","Asterodon","ferruginosus","Hymenochaetaceae","Hymenochaetales","Agaricomycetes","Basidiomycota","Basidiospores"
"Asterostroma laxum","7","7","1","Globose","269.39157","Asterostroma","laxum","Lachnocladiaceae","Russulales","Agaricomycetes","Basidiomycota","Basidiospores"
"Athelia acrospora","6.25","2.75","2.272727273","Ellipsoid","37.12233507","Athelia","acrospora","Atheliaceae","Atheliales","Agaricomycetes","Basidiomycota","Basidiospores"
"Athelia decipiens","4.75","3.25","1.461538462","Ellipsoid","39.40489848","Athelia","decipiens","Atheliaceae","Atheliales","Agaricomycetes","Basidiomycota","Basidiospores"
"Athelia epiphylla coll","11.25","5.75","1.956521739","Ellipsoid","292.1313012","Athelia","epiphylla","Atheliaceae","Atheliales","Agaricomycetes","Basidiomycota","Basidiospores"
"Athelia neuhoffii","7","4.75","1.473684211","Ellipsoid","124.0438224","Athelia","neuhoffii","Atheliaceae","Atheliales","Agaricomycetes","Basidiomycota","Basidiospores"
"Athelopsis glaucina","9.5","2.25","4.222222222","Cylindrical","37.77274292","Athelopsis","glaucina","Atheliaceae","Atheliales","Agaricomycetes","Basidiomycota","Basidiospores"
"Athelopsis subinconspicua","7","4.25","1.647058824","Ellipsoid","99.30378028","Athelopsis","subinconspicua","Atheliaceae","Atheliales","Agaricomycetes","Basidiomycota","Basidiospores"
"Auricularia auricula-judae","12.5","4.75","2.631578947","Allantoid","221.5068258","Auricularia","auricula-judae","Auriculariaceae","Auriculariales","Agaricomycetes","Basidiomycota","Basidiospores"
"Basidiodendron caesiocinereum","8","8.5","0.941176471","Globose","453.9601384","Basidiodendron","caesiocinereum","Auriculariaceae","Auriculariales","Agaricomycetes","Basidiomycota","Basidiospores"
"Basidiodendron cinereum","9.5","7","1.357142857","Ovoid","365.6028451","Basidiodendron","cinereum","Auriculariaceae","Auriculariales","Agaricomycetes","Basidiomycota","Basidiospores"
"Basidioradulum crustosum","5.5","2.75","2","Cylindrical","32.66765486","Basidioradulum","crustosum","Schizoporaceae","Hymenochaetales","Agaricomycetes","Basidiomycota","Basidiospores"
"Bertia moriformis","40","5.75","6.956521739","Allantoid","1038.689071","Bertia","moriformis","Bertiaceae","Coronophorales","Sordariomycetes","Ascomycota","Ascospores"
"Bisporella citrina","10","3.3","3.03030303","Ellipsoid","85.52985999","Bisporella","citrina","Helotiaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Bjerkandera adusta","4.75","2.75","1.727272727","Cylindrical","28.21297465","Bjerkandera","adusta","Meruliaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Boidinia furfuracea","5","5","1","Globose","98.17477042","Boidinia","furfuracea","Russulaceae","Russulales","Agaricomycetes","Basidiomycota","Basidiospores"
"Bolbitius reticulatus","9.5","4.75","2","Ellipsoid","168.3451876","Bolbitius","reticulatus","Bolbitiaceae","Agaricales","Agaricomycetes","Basidiomycota","Basidiospores"
"Boliniaceae sp1.","8.33","3.33","2.501501502","Ellipsoid","72.54765011","Boliniaceae","sp1.","Boliniaceae","Boliniales","Sordariomycetes","Ascomycota","Ascospores"
"Botryobasidium botryosum","9","3.75","2.4","Fusiform","99.40195505","Botryobasidium","botryosum","Botryobasidiaceae","Cantharellales","Agaricomycetes","Basidiomycota","Basidiospores"
"Botryobasidium conspersum","8","2.75","2.909090909","Cylindrical","47.51658889","Botryobasidium","conspersum","Botryobasidiaceae","Cantharellales","Agaricomycetes","Basidiomycota","Basidiospores"
"Botryobasidium intertextum","8.25","2","4.125","Fusiform","25.91813939","Botryobasidium","intertextum","Botryobasidiaceae","Cantharellales","Agaricomycetes","Basidiomycota","Basidiospores"
"Botryobasidium laeve","6.5","3.25","2","Ellipsoid","53.92249266","Botryobasidium","laeve","Botryobasidiaceae","Cantharellales","Agaricomycetes","Basidiomycota","Basidiospores"
"Botryobasidium medium","10.5","5.5","1.909090909","Fusiform","249.4620916","Botryobasidium","medium","Botryobasidiaceae","Cantharellales","Agaricomycetes","Basidiomycota","Basidiospores"
"Botryobasidium obtusisporum","10","4.75","2.105263158","Ellipsoid","177.2054606","Botryobasidium","obtusisporum","Botryobasidiaceae","Cantharellales","Agaricomycetes","Basidiomycota","Basidiospores"
"Botryobasidium subcoronatum","6.75","2.75","2.454545455","Fusiform","40.09212187","Botryobasidium","subcoronatum","Botryobasidiaceae","Cantharellales","Agaricomycetes","Basidiomycota","Basidiospores"
"Botryohypochnus isabellinus","8.5","8.5","1","Globose","482.3326471","Botryohypochnus","isabellinus","Botryobasidiaceae","Cantharellales","Agaricomycetes","Basidiomycota","Basidiospores"
"Butyrea luteoalbum","4.6","1.8","2.555555556","Cylindrical","11.70557423","Butyrea","luteoalbum","Meruliaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Byssomerulius corium","6","3","2","Cylindrical","42.41150082","Byssomerulius","corium","Phanerochaetaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Byssoporia terrestris","4.5","3.5","1.285714286","Ellipsoid","43.29507376","Byssoporia","terrestris","Atheliaceae","Atheliales","Agaricomycetes","Basidiomycota","Basidiospores"
"Cabalodontia bresadolae","6.75","3.25","2.076923077","Ellipsoid","55.99643468","Cabalodontia","bresadolae","Meruliaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Cabalodontia cretacea","7.5","1.75","4.285714286","Allantoid","18.03961407","Cabalodontia","cretacea","Meruliaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Cabalodontia subcretacea","6.5","1.5","4.333333333","Allantoid","11.48644814","Cabalodontia","subcretacea","Meruliaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Calocera cornea","8.5","3.25","2.615384615","Cylindrical","70.51402886","Calocera","cornea","Dacrymycetaceae","Dacrymycetales","Dacrymycetes","Basidiomycota","Basidiospores"
"Calocera furcata","10.5","3.5","3","Ellipsoid","101.0218388","Calocera","furcata","Dacrymycetaceae","Dacrymycetales","Dacrymycetes","Basidiomycota","Basidiospores"
"Calocera viscosa","9","4","2.25","Ellipsoid","113.0973355","Calocera","viscosa","Dacrymycetaceae","Dacrymycetales","Dacrymycetes","Basidiomycota","Basidiospores"
"Calycellina guttulifera","5","1.7","2.941176471","Fusiform","11.34900346","Calycellina","guttulifera","Hyaloscyphaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Calycellina ochracea","14.5","3.25","4.461538462","Fusiform","120.2886375","Calycellina","ochracea","Hyaloscyphaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Calycellina sp1.","4.9","1.2","4.083333333","Fusiform","5.541769441","Calycellina","sp1.","Hyaloscyphaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Calyptella sp1.","9.5","4.25","2.235294118","Cylindrical","134.7694161","Calyptella","sp1.","Marasmiaceae","Agaricales","Agaricomycetes","Basidiomycota","Basidiospores"
"Camarops lutea/pugillus complex","6.5","3.5","1.857142857","Ellipsoid","62.53732876","Camarops","lutea/pugillus","Boliniaceae","Boliniales","Sordariomycetes","Ascomycota","Ascospores"
"Camarops tubulina","6.5","3.5","1.857142857","Ellipsoid","62.53732876","Camarops","tubulina","Boliniaceae","Boliniales","Sordariomycetes","Ascomycota","Ascospores"
"Capitotricha bicolor","8","1.5","5.333333333","Fusiform","14.13716694","Capitotricha","bicolor","Lachnaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Capronia cf mansonii","16","10","1.6","Fusiform","1256.637061","Capronia","mansonii","Herpotrichiellaceae","Chaetothyriales","Eurotiomycetes","Ascomycota","Ascospores"
"Capronia cf pilosella","13","5.75","2.260869565","Fusiform","337.5739481","Capronia","pilosella","Herpotrichiellaceae","Chaetothyriales","Eurotiomycetes","Ascomycota","Ascospores"
"Capronia cf semi-immersa","17.5","7.5","2.4","Muriform","795.2156404","Capronia","semi-immersa","Herpotrichiellaceae","Chaetothyriales","Eurotiomycetes","Ascomycota","Ascospores"
"Capronia sp4.","18","7.5","2.4","Muriform","795.2156404","Capronia","sp4.","Herpotrichiellaceae","Chaetothyriales","Eurotiomycetes","Ascomycota","Ascospores"
"Capronia sp5.","16","6","2.666666667","Fusiform","452.3893421","Capronia","sp5.","Herpotrichiellaceae","Chaetothyriales","Eurotiomycetes","Ascomycota","Ascospores"
"Ceraceomyces eludens","3.75","3.1","1.209677419","Ellipsoid","28.30378631","Ceraceomyces","eludens","Amylocorticiaceae","Boletales","Agaricomycetes","Basidiomycota","Basidiospores"
"Ceraceomyces microsporus","3.25","2.75","1.181818182","Ellipsoid","19.30361423","Ceraceomyces","microsporus","Amylocorticiaceae","Boletales","Agaricomycetes","Basidiomycota","Basidiospores"
"Ceraceomyces serpens","4.75","2.25","2.111111111","Ellipsoid","18.88637146","Ceraceomyces","serpens","Amylocorticiaceae","Boletales","Agaricomycetes","Basidiomycota","Basidiospores"
"Ceraceomyces tessulatus","7","4","1.75","Ellipsoid","87.9645943","Ceraceomyces","tessulatus","Amylocorticiaceae","Boletales","Agaricomycetes","Basidiomycota","Basidiospores"
"Ceratosebacina longispora","25","4","6.25","Fusiform","314.1592654","Ceratosebacina","longispora","Exidiaceae","Auriculariales","Agaricomycetes","Basidiomycota","Basidiospores"
"Ceratosphaeria cf subferruginea","19.5","6","3.25","Fusiform","551.3495107","Ceratosphaeria","subferruginea","Magnaporthaceae","Magnaporthales","Sordariomycetes","Ascomycota","Ascospores"
"Ceratosphaeria lampadophora","50","4.2","11.9047619","Filiform","692.7211801","Ceratosphaeria","lampadophora","Magnaporthaceae","Magnaporthales","Sordariomycetes","Ascomycota","Ascospores"
"Ceratosphaeria rhenana","19.5","5.5","3.545454545","Fusiform","463.2867416","Ceratosphaeria","rhenana","Magnaporthaceae","Magnaporthales","Sordariomycetes","Ascomycota","Ascospores"
"Ceratostomella rostrata","5.25","1.75","3","Allantoid","12.62772985","Ceratostomella","rostrata","Magnaporthaceae","Magnaporthales","Sordariomycetes","Ascomycota","Ascospores"
"Cerinomyces crustulinus","10","3.25","3.076923077","Allantoid","82.95768101","Cerinomyces","crustulinus","Dacrymycetaceae","Dacrymycetales","Dacrymycetes","Basidiomycota","Basidiospores"
"Cerioporus leptocephalus","7.95","3.45","2.304347826","Cylindrical","74.31820304","Cerioporus","leptocephalus","Polyporaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Cerioporus mollis","11","3.5","3.142857143","Cylindrical","105.8324025","Cerioporus","mollis","Polyporaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Ceriporia excelsa","4.25","2.25","1.888888889","Cylindrical","16.89833236","Ceriporia","excelsa","Phanerochaetaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Ceriporia reticulata","7.5","3","2.5","Cylindrical","53.01437603","Ceriporia","reticulata","Phanerochaetaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Ceriporia viridans","4","2","2","Allantoid","12.56637061","Ceriporia","viridans","Phanerochaetaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Ceriporiopsis resinascens","5.9","2.6","2.269230769","Cylindrical","31.32482035","Ceriporiopsis","resinascens","Phanerochaetaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Cerrena unicolor","4.8","2.85","1.684210526","Ellipsoid","30.62110359","Cerrena","unicolor","Polyporaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Chaetoderma luna","12.5","4.5","2.777777778","Allantoid","198.8039101","Chaetoderma","luna","Gloeophyllaceae","Russulales","Agaricomycetes","Basidiomycota","Basidiospores"
"Chaetosphaeria cf cupulifera","24.5","4.5","5.444444444","Filiform","389.6556638","Chaetosphaeria","cupulifera","Chaetosphaeriaceae","Chaetosphaeriales","Sordariomycetes","Ascomycota","Ascospores"
"Chaetosphaeria myriocarpa","6","2.5","2.4","Ellipsoid","29.45243113","Chaetosphaeria","myriocarpa","Chaetosphaeriaceae","Chaetosphaeriales","Sordariomycetes","Ascomycota","Ascospores"
"Chaetosphaeria sp1.","38","3","12.66666667","Filiform","268.6061719","Chaetosphaeria","sp1.","Chaetosphaeriaceae","Chaetosphaeriales","Sordariomycetes","Ascomycota","Ascospores"
"Chaetosphaeria sp2.","13.2","4.3","3.069767442","Fusiform","191.6905589","Chaetosphaeria","sp2.","Chaetosphaeriaceae","Chaetosphaeriales","Sordariomycetes","Ascomycota","Ascospores"
"Chaetosphaeria vermicularioides","8.5","2.5","3.4","Ellipsoid","41.72427743","Chaetosphaeria","vermicularioides","Chaetosphaeriaceae","Chaetosphaeriales","Sordariomycetes","Ascomycota","Ascospores"
"Cheimonophyllum candidissimum","5.5","5","1.1","Globose","107.9922475","Cheimonophyllum","candidissimum","Cyphellaceae","Agaricales","Agaricomycetes","Basidiomycota","Basidiospores"
"Chlorencoelia versiformis","13","3","4.333333333","Allantoid","91.89158512","Chlorencoelia","versiformis","Hemiphacidiaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Chlorociboria aeruginascens","5.75","1.75","3.285714286","Fusiform","13.83037078","Chlorociboria","aeruginascens","Chlorociboriaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Chlorociboria aeruginosa","11.5","3","3.833333333","Fusiform","81.28870991","Chlorociboria","aeruginosa","Chlorociboriaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Chrysomphalina chrysophylla","10.5","5.5","1.909090909","Ellipsoid","249.4620916","Chrysomphalina","chrysophylla","Hygrophoraceae","Agaricales","Agaricomycetes","Basidiomycota","Basidiospores"
"Ciliolarina aff pinicola","10","4","2.5","Ellipsoid","125.6637061","Ciliolarina","pinicola","Hyaloscyphaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Ciliolarina cf laetifica","5.8","2.25","2.577777778","Ellipsoid","23.06125357","Ciliolarina","laetifica","Hyaloscyphaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Ciliolarina concortica","5.25","1.9","2.763157895","Ovoid","14.88525869","Ciliolarina","concortica","Hyaloscyphaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Ciliolarina neglecta","4.7","1.6","2.9375","Ellipsoid","9.449910702","Ciliolarina","neglecta","Hyaloscyphaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Ciliolarina sp1.","9.4","2.7","3.481481481","Ellipsoid","53.82019454","Ciliolarina","sp1.","Hyaloscyphaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Cinereomyces lindbladii","5.4","2","2.7","Cylindrical","16.96460033","Cinereomyces","lindbladii","Polyporaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Cistella cf geelmyedenii","6","1.9","3.157894737","Ellipsoid","17.01172422","Cistella","geelmyedenii","Hyaloscyphaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Cistella cf improvisa","5.38","1.67","3.221556886","Ellipsoid","11.78433553","Cistella","improvisa","Hyaloscyphaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Cistella cf microspora","3.5","1.75","2","Ellipsoid","8.418486564","Cistella","microspora","Hyaloscyphaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Cistella sp1.","7.5","2.1","3.571428571","Ellipsoid","25.97704425","Cistella","sp1.","Hyaloscyphaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Cistella sp2.","5","1.7","2.941176471","Ellipsoid","11.34900346","Cistella","sp2.","Hyaloscyphaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Cistella sp3.","5","2","2.5","Ellipsoid","15.70796327","Cistella","sp3.","Hyaloscyphaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Cistella sp4.","5","1.7","2.941176471","Ellipsoid","11.34900346","Cistella","sp4.","Hyaloscyphaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Cistella sp5.","4.5","1.3","3.461538462","Ellipsoid","5.972953033","Cistella","sp5.","Hyaloscyphaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Cistella sp6.","8.5","2","4.25","Ellipsoid","26.70353756","Cistella","sp6.","Hyaloscyphaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Cistella sp8.","11.8","2.5","4.72","Ellipsoid","57.92311455","Cistella","sp8.","Hyaloscyphaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Claussenomyces atrovirens","20","4.25","4.705882353","Fusiform","283.7250865","Claussenomyces","atrovirens","Tympanidaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Clavulicium delectabile","8","7","1.142857143","Ellipsoid","307.8760801","Clavulicium","delectabile","Clavulinacea","Cantharellales","Agaricomycetes","Basidiomycota","Basidiospores"
"Colacogloea peniophorae","7.5","4","1.875","Ellipsoid","94.24777961","Colacogloea","peniophorae","Heterogastridiaceae","Heterogastridiales","Microbotryomycetes","Basidiomycota","Basidiospores"
"Conferticium ochraceum","5.25","3","1.75","Cylindrical","37.11006322","Conferticium","ochraceum","Stereaceae","Russulales","Agaricomycetes","Basidiomycota","Basidiospores"
"Conferticium ravum","6.5","4.25","1.529411765","Ellipsoid","92.21065312","Conferticium","ravum","Stereaceae","Russulales","Agaricomycetes","Basidiomycota","Basidiospores"
"Coniochaeta subcorticalis","9.6","6.9","1.391304348","Ellipsoid","358.970943","Coniochaeta","subcorticalis","Coniochaetaceae","Sordariales","Sordariomycetes","Ascomycota","Ascospores"
"Coniophora arida","12","7","1.714285714","Ovoid","461.8141201","Coniophora","arida","Coniophoraceae","Boletales","Agaricomycetes","Basidiomycota","Basidiospores"
"Coniophora olivacea","10","5","2","Ovoid","196.3495408","Coniophora","olivacea","Coniophoraceae","Boletales","Agaricomycetes","Basidiomycota","Basidiospores"
"Coniophora puteana","10.5","6.5","1.615384615","Ellipsoid","348.4222602","Coniophora","puteana","Coniophoraceae","Boletales","Agaricomycetes","Basidiomycota","Basidiospores"
"Coronicium alboglaucum","7","2.75","2.545454545","Fusiform","41.57701527","Coronicium","alboglaucum","Pterulaceae","Agaricales","Agaricomycetes","Basidiomycota","Basidiospores"
"Coronophora sp nov","9.9","2","4.95","Allantoid","31.10176727","Coronophora","sp","Coronophoraceae","Coronophorales","Sordariomycetes","Ascomycota","Ascospores"
"Corticium boreoroseum","9.25","5","1.85","Ellipsoid","181.6233253","Corticium","boreoroseum","Corticiaceae","Corticiales","Agaricomycetes","Basidiomycota","Basidiospores"
"Corticium polygonioides","7.25","5","1.45","Ellipsoid","142.3534171","Corticium","polygonioides","Corticiaceae","Corticiales","Agaricomycetes","Basidiomycota","Basidiospores"
"Corticium roseum","21","10","2.1","Ellipsoid","1649.336143","Corticium","roseum","Corticiaceae","Corticiales","Agaricomycetes","Basidiomycota","Basidiospores"
"Crepidotus calolepis","8.5","5.75","1.47826087","Ellipsoid","220.7214276","Crepidotus","calolepis","Inocybeceae","Agaricales","Agaricomycetes","Basidiomycota","Basidiospores"
"Crepidotus cesatii","7.5","6.5","1.153846154","Globose","248.873043","Crepidotus","cesatii","Inocybeceae","Agaricales","Agaricomycetes","Basidiomycota","Basidiospores"
"Crepidotus pallidus","7.75","4.5","1.722222222","Ellipsoid","123.2584243","Crepidotus","pallidus","Inocybeceae","Agaricales","Agaricomycetes","Basidiomycota","Basidiospores"
"Crepidotus subverrucisporus","8.75","5.75","1.52173913","Fusiform","227.2132343","Crepidotus","subverrucisporus","Inocybeceae","Agaricales","Agaricomycetes","Basidiomycota","Basidiospores"
"Crocicreas sp1.","5.1","1.2","4.25","Ellipsoid","5.767964112","Crocicreas","sp1.","Helotiaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Crustoderma corneum","10","4.75","2.105263158","Ellipsoid","177.2054606","Crustoderma","corneum","Meruliaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Crustoderma dryinum","8","3","2.666666667","Fusiform","56.54866776","Crustoderma","dryinum","Meruliaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Crustoderma efibulatum","7.7","1.9","4.052631579","Cylindrical","21.83171275","Crustoderma","efibulatum","Meruliaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Cryptodiscus foveolaris","7.5","2.75","2.727272727","Ellipsoid","44.54680208","Cryptodiscus","foveolaris","Stictidaceae","Ostropales","Lecanoromycetes","Ascomycota","Ascospores"
