"taxon","simplified_disease","simplified_disease_1","simplified_disease_2"
"Microdochium sorghi","zonate leaf spot or copper spot of grasses","zonate_leaf_spots_or_copper_spot_of_grasses","leaf_spot"
"Calonectria colhounii","a common but secondary foliage disease; leaf spot (peerally 1974)","a_common_but_secondary_foliage_disease _leaf_spots_(peerally_1974)","leaf_spots"
"Calonectria colhounii var. macroconidialis","a common but secondary foliage disease; leaf spot (peerally 1974)","a_common_but_secondary_foliage_disease _leaf_spots_(peerally_1974)","leaf_spots"
"Cercospora brachypus","angular leaf spot","angular_leaf_spots","leaf_spots"
"Cercospora columnaris","angular leaf spot","angular_leaf_spots","leaf_spots"
"Cercospora griseola","angular leaf spot","angular_leaf_spots","leaf_spots"
"Cercospora pittospori","angular leaf spot","angular_leaf_spots","leaf_spots"
"Cercospora solimani","angular leaf spot","angular_leaf_spots","leaf_spots"
"Cercospora solimanii","angular leaf spot","angular_leaf_spots","leaf_spots"
"Isariopsis griseola","angular leaf spot","angular_leaf_spots","leaf_spots"
"Lindauomyces griseolus","angular leaf spot","angular_leaf_spots","leaf_spots"
"Phaeoisaria griseola","angular leaf spot","angular_leaf_spots","leaf_spots"
"Phaeoisariopsis griseola","angular leaf spot","angular_leaf_spots","leaf_spots"
"Pseudocercospora brachypus","angular leaf spot","angular_leaf_spots","leaf_spots"
"Pseudocercospora columnaris","angular leaf spot","angular_leaf_spots","leaf_spots"
"Pseudocercospora griseola","angular leaf spot","angular_leaf_spots","leaf_spots"
"Pseudocercospora griseola f. mesoamericana","angular leaf spot","angular_leaf_spots","leaf_spots"
"Pseudocercospora pittospori","angular leaf spot","angular_leaf_spots","leaf_spots"
"Mycosphaerella fijiensis","black sigatoka (black leaf streak) of banana","black_sigatoka_(black_leaf_streak)_of_banana","leaf_spots"
"Cercospora fusca","brown leaf spot","brown_leaf_spots","leaf_spots"
"Clasterosporium diffusum","brown leaf spot","brown_leaf_spots","leaf_spots"
"Sirosporium diffusum","brown leaf spot","brown_leaf_spots","leaf_spots"
"Aureobasidium lini","browning, leaf spot, stem break","browning leaf_spots stem_break","leaf_spots"
"Guignardia fulvida","browning, leaf spot, stem break","browning leaf_spots stem_break","leaf_spots"
"Kabatiella lini","browning, leaf spot, stem break","browning leaf_spots stem_break","leaf_spots"
"Polyspora lini","browning, leaf spot, stem break","browning leaf_spots stem_break","leaf_spots"
"Cordana musae","cordana leaf blotch (spot)","cordana_leaf_blotch_(spot)","leaf_spots"
"Scolicotrichum musae","cordana leaf blotch (spot)","cordana_leaf_blotch_(spot)","leaf_spots"
"Mycosphaerella pseudosuberosa","corky leaf spot","corky_leaf_spots","leaf_spots"
"Suberoteratosphaeria xenosuberosa","corky leaf spot","corky_leaf_spots","leaf_spots"
"Teratosphaeria pseudosuberosa","corky leaf spot","corky_leaf_spots","leaf_spots"
"Mycovellosiella maclurae","cottony leaf spot","cottony_leaf_spots","leaf_spots"
"Ovularia maclurae","cottony leaf spot","cottony_leaf_spots","leaf_spots"
"Ramularia maclurae","cottony leaf spot","cottony_leaf_spots","leaf_spots"
"Ramularia cyclaminicola","cyclamen stunt disease; discoloration, stunting, indistinct leaf spotting","cyclamen_stunt_disease _discoloration stunting indistinct_leaf_spotsting","leaf_spots"
"Alternaria brassicicola","dark brown to almost black, circular, zonate leaf spot. seed-borne. more common,causing more severe disease than alternaria brassicae (ellis 1968)","dark_brown_to_almost_black circular zonate_leaf_spots._seed-borne._more_common causing_more_severe_disease_than_alternaria_brassicae_(ellis_1968)","leaf_spots"
"Helminthosporium brassicicola","dark brown to almost black, circular, zonate leaf spot. seed-borne. more common,causing more severe disease than alternaria brassicae (ellis 1968)","dark_brown_to_almost_black circular zonate_leaf_spots._seed-borne._more_common causing_more_severe_disease_than_alternaria_brassicae_(ellis_1968)","leaf_spots"
"Leptosphaerulina conyzicola","dark dots  at leaf margins but otherwise no disease symptoms","dark_dots__at_leaf_margins_but_otherwise_no_disease_symptoms","leaf_spots"
"Ramularia silenicola","diffuse leaf spot/discoloration","diffuse_leaf_spots discoloration","leaf_spots"
"Passalora crotonis-gossypiifolii","dingy greyish brown to sooty patches on lower leaf surface","dingy_greyish_brown_to_sooty_patches_on_lower_leaf_surface","leaf_spots"
"Mycovellosiella phaseoli","floury leaf spot","floury_leaf_spots","leaf_spots"
"Ovularia phaseoli","floury leaf spot","floury_leaf_spots","leaf_spots"
"Ramularia phaseoli","floury leaf spot","floury_leaf_spots","leaf_spots"
"Ophiodothella angustissima","flyspeak leaf spot","flyspeak_leaf_spots","leaf_spots"
"Cercospora sojina","frog-eye leaf spot of soybeans","frog-eye_leaf_spots_of_soybeans","leaf_spots"
"Cercosporidium sojinum","frog-eye leaf spot of soybeans","frog-eye_leaf_spots_of_soybeans","leaf_spots"
"Cercosporina sojina","frog-eye leaf spot of soybeans","frog-eye_leaf_spots_of_soybeans","leaf_spots"
"Passalora sojina","frog-eye leaf spot of soybeans","frog-eye_leaf_spots_of_soybeans","leaf_spots"
"Anungitea eucalyptigena","from anungitea eucalyptigena - associated with leaf spot; pathogenicity uncertain","from_anungitea_eucalyptigena_-_associated_with_leaf_spots _pathogenicity_uncertain","leaf_spots"
"Mycosphaerella recutita","from passalora graminis - leaf streak, spot, brown stripe","from_passalora_graminis_-_leaf_streak spot brown_stripe","leaf_spots"
"Sphaeria recutita","from passalora graminis - leaf streak, spot, brown stripe","from_passalora_graminis_-_leaf_streak spot brown_stripe","leaf_spots"
"Seiridium banksiae","from seiridium banksiae - leaf spot","from_seiridium_banksiae_-_leaf_spots","leaf_spots"
"Scolecolachnum pteridii","frond spot","frond_spot","leaf_spots"
"Zymochalara cyatheae","frond spot","frond_spot","leaf_spots"
"Pestalotiopsis rhodomyrtus","gray leaf spot","gray_leaf_spots","leaf_spots"
"Pseudopestalotiopsis chinensis","gray leaf spot","gray_leaf_spots","leaf_spots"
"Cercospora zeae-maydis","gray leaf spot of corn","gray_leaf_spots_of_corn","leaf_spots"
"Harknessia leucospermi","harknessia leaf spot","harknessia_leaf_spots","leaf_spots"
"Heteroconium neriifoliae","heteroconium leaf spot","heteroconium_leaf_spots","leaf_spots"
"Cercospora bidenticola","indistinct leaf spot","indistinct_leaf_spots","leaf_spots"
"Cercospora lateritia","indistinct leaf spot","indistinct_leaf_spots","leaf_spots"
"Cercosporella hypoëstis","indistinct leaf spot","indistinct_leaf_spots","leaf_spots"
"Cercosporella indigoferae","indistinct leaf spot","indistinct_leaf_spots","leaf_spots"
"Cercosporella indigofericola","indistinct leaf spot","indistinct_leaf_spots","leaf_spots"
"Cercosporella lini","indistinct leaf spot","indistinct_leaf_spots","leaf_spots"
"Cercosporella polysciadis","indistinct leaf spot","indistinct_leaf_spots","leaf_spots"
"Cercosporella polysciatis","indistinct leaf spot","indistinct_leaf_spots","leaf_spots"
"Fusariella polysciadis","indistinct leaf spot","indistinct_leaf_spots","leaf_spots"
"Passalora bidenticola","indistinct leaf spot","indistinct_leaf_spots","leaf_spots"
"Passalora lateritia","indistinct leaf spot","indistinct_leaf_spots","leaf_spots"
"Passalora marsdeniicola","indistinct leaf spot","indistinct_leaf_spots","leaf_spots"
"Pionnotes polysciadis","indistinct leaf spot","indistinct_leaf_spots","leaf_spots"
"Pionnotes polysciatis","indistinct leaf spot","indistinct_leaf_spots","leaf_spots"
"Pseudocercospora anogeissi","indistinct leaf spot","indistinct_leaf_spots","leaf_spots"
"Pseudocercospora piperigena","indistinct leaf spot","indistinct_leaf_spots","leaf_spots"
"Ramularia oplopanacis","indistinct leaf spot","indistinct_leaf_spots","leaf_spots"
"Cercospora consociata","indistinct leaf spot, discoloration","indistinct_leaf_spots discoloration","leaf_spots"
"Cercospora cyathulae","indistinct leaf spot, discoloration","indistinct_leaf_spots discoloration","leaf_spots"
"Cercospora tylophorae","indistinct leaf spot, discoloration","indistinct_leaf_spots discoloration","leaf_spots"
"Periconiella liquidambaricola","indistinct leaf spot, discoloration","indistinct_leaf_spots discoloration","leaf_spots"
"Pseudocercospora consociata","indistinct leaf spot, discoloration","indistinct_leaf_spots discoloration","leaf_spots"
"Pseudocercospora consociata var. dimorpha","indistinct leaf spot, discoloration","indistinct_leaf_spots discoloration","leaf_spots"
"Pseudocercospora grossulariacearum","indistinct leaf spot, discoloration","indistinct_leaf_spots discoloration","leaf_spots"
"Ramularia desmodii","indistinct leaf spot, discoloration","indistinct_leaf_spots discoloration","leaf_spots"
"Cercospora adianti","indistinct leaf spot/discoloration","indistinct_leaf_spots discoloration","leaf_spots"
"Cercosporella beckeropsidis","indistinct leaf spot/discoloration","indistinct_leaf_spots discoloration","leaf_spots"
"Mycovellosiella paspali","indistinct leaf spot/discoloration","indistinct_leaf_spots discoloration","leaf_spots"
"Pseudocercospora adianti","indistinct leaf spot/discoloration","indistinct_leaf_spots discoloration","leaf_spots"
"Ramularia beckeropsis","indistinct leaf spot/discoloration","indistinct_leaf_spots discoloration","leaf_spots"
"Ramularia coryli","indistinct leaf spot/discoloration","indistinct_leaf_spots discoloration","leaf_spots"
"Ramularia paspali","indistinct leaf spot/discoloration","indistinct_leaf_spots discoloration","leaf_spots"
"Stenella hirtellae","indistinct leaf spot/discoloration","indistinct_leaf_spots discoloration","leaf_spots"
"Zasmidium hirtellae","indistinct leaf spot/discoloration","indistinct_leaf_spots discoloration","leaf_spots"
"Ramularia repens","indistinct leaf spots, discoloration","indistinct_leaf_spots discoloration","leaf_spots"
"Lembosia faureae","irregular brown leaf specks","irregular_brown_leaf_specks","leaf_spots"
"Elsinoë veneta","leaf, cane spot","leaf_spots cane_spot","leaf_spots"
"Plectodiscella veneta","leaf, cane spot","leaf_spots cane_spot","leaf_spots"
"Clypeoporthe iliau","leaf sheath spot","leaf_sheath_spot","leaf_spots"
"Gnomonia iliau","leaf sheath spot","leaf_sheath_spot","leaf_spots"
"Acervuloseptoria ziziphicola","leaf spot","leaf_spots","leaf_spots"
"Acrodontiella fallopiae","leaf spot","leaf_spots","leaf_spots"
"Acrotheca gei","leaf spot","leaf_spots","leaf_spots"
"Acrothecium penniseti","leaf spot","leaf_spots","leaf_spots"
"Adisciso kaki","leaf spot","leaf_spots","leaf_spots"
"Alternaria africana","leaf spot","leaf_spots","leaf_spots"
"Alternaria agripestis","leaf spot","leaf_spots","leaf_spots"
"Alternaria alstroemeriae","leaf spot","leaf_spots","leaf_spots"
"Alternaria amorphophalli","leaf spot","leaf_spots","leaf_spots"
"Alternaria amphicarpaeae","leaf spot","leaf_spots","leaf_spots"
"Alternaria anagallidis","leaf spot","leaf_spots","leaf_spots"
"Alternaria anagallidis var. linariae","leaf spot","leaf_spots","leaf_spots"
"Alternaria anigozanthi","leaf spot","leaf_spots","leaf_spots"
"Alternaria arborescens","leaf spot","leaf_spots","leaf_spots"
"Alternaria argyranthemi","leaf spot","leaf_spots","leaf_spots"
"Alternaria armoraciae","leaf spot","leaf_spots","leaf_spots"
"Alternaria avenicola","leaf spot","leaf_spots","leaf_spots"
"Alternaria bannaensis","leaf spot","leaf_spots","leaf_spots"
"Alternaria banyan","leaf spot","leaf_spots","leaf_spots"
"Alternaria beringelae","leaf spot","leaf_spots","leaf_spots"
"Alternaria blumeae","leaf spot","leaf_spots","leaf_spots"
"Alternaria brasiliensis","leaf spot","leaf_spots","leaf_spots"
"Alternaria brassicae","leaf spot","leaf_spots","leaf_spots"
"Alternaria brassicae var. dauci","leaf spot","leaf_spots","leaf_spots"
"Alternaria calendulae","leaf spot","leaf_spots","leaf_spots"
"Alternaria capsici","leaf spot","leaf_spots","leaf_spots"
"Alternaria cheiranthi","leaf spot","leaf_spots","leaf_spots"
"Alternaria chrysanthemi","leaf spot","leaf_spots","leaf_spots"
"Alternaria cirsinoxia","leaf spot","leaf_spots","leaf_spots"
"Alternaria colombiana","leaf spot","leaf_spots","leaf_spots"
"Alternaria crassa","leaf spot","leaf_spots","leaf_spots"
"Alternaria cylindrorostra","leaf spot","leaf_spots","leaf_spots"
"Alternaria daturicola","leaf spot","leaf_spots","leaf_spots"
"Alternaria dichondrae","leaf spot","leaf_spots","leaf_spots"
"Alternaria eichhorniae","leaf spot","leaf_spots","leaf_spots"
"Alternaria ellisii","leaf spot","leaf_spots","leaf_spots"
"Alternaria ethzedia","leaf spot","leaf_spots","leaf_spots"
"Alternaria franseriae","leaf spot","leaf_spots","leaf_spots"
"Alternaria geniostomatis","leaf spot","leaf_spots","leaf_spots"
"Alternaria gomphrenae","leaf spot","leaf_spots","leaf_spots"
"Alternaria gossypina","leaf spot","leaf_spots","leaf_spots"
"Alternaria gypsophilae","leaf spot","leaf_spots","leaf_spots"
"Alternaria helianthinficiens","leaf spot","leaf_spots","leaf_spots"
"Alternaria heliophytonis","leaf spot","leaf_spots","leaf_spots"
"Alternaria heveae","leaf spot","leaf_spots","leaf_spots"
"Alternaria hibisci","leaf spot","leaf_spots","leaf_spots"
"Alternaria hordeicola","leaf spot","leaf_spots","leaf_spots"
"Alternaria iranica","leaf spot","leaf_spots","leaf_spots"
"Alternaria iridiaustralis","leaf spot","leaf_spots","leaf_spots"
"Alternaria jacinthicola","leaf spot","leaf_spots","leaf_spots"
"Alternaria lallemantiae","leaf spot","leaf_spots","leaf_spots"
"Alternaria leucanthemi","leaf spot","leaf_spots","leaf_spots"
"Alternaria macalpinei","leaf spot","leaf_spots","leaf_spots"
"Alternaria macrospora","leaf spot","leaf_spots","leaf_spots"
"Alternaria malvacearum","leaf spot","leaf_spots","leaf_spots"
"Alternaria malvae-vulgaris","leaf spot","leaf_spots","leaf_spots"
"Alternaria metachromatica","leaf spot","leaf_spots","leaf_spots"
"Alternaria nerii","leaf spot","leaf_spots","leaf_spots"
"Alternaria nitrimali","leaf spot","leaf_spots","leaf_spots"
"Alternaria novae-guineensis","leaf spot","leaf_spots","leaf_spots"
"Alternaria ornatissima","leaf spot","leaf_spots","leaf_spots"
"Alternaria papaveris","leaf spot","leaf_spots","leaf_spots"
"Alternaria petroselini","leaf spot","leaf_spots","leaf_spots"
"Alternaria peucedani","leaf spot","leaf_spots","leaf_spots"
"Alternaria rosifolii","leaf spot","leaf_spots","leaf_spots"
"Alternaria saposhnikoviae","leaf spot","leaf_spots","leaf_spots"
"Alternaria sidae","leaf spot","leaf_spots","leaf_spots"
"Alternaria simsimi","leaf spot","leaf_spots","leaf_spots"
"Alternaria smyrnii","leaf spot","leaf_spots","leaf_spots"
"Alternaria sojae","leaf spot","leaf_spots","leaf_spots"
"Alternaria sonchi","leaf spot","leaf_spots","leaf_spots"
"Alternaria spinaciae","leaf spot","leaf_spots","leaf_spots"
"Alternaria steviae","leaf spot","leaf_spots","leaf_spots"
"Alternaria sudanensis","leaf spot","leaf_spots","leaf_spots"
"Alternaria suffruticosae","leaf spot","leaf_spots","leaf_spots"
"Alternaria suffruticosicola","leaf spot","leaf_spots","leaf_spots"
"Alternaria tangelonis","leaf spot","leaf_spots","leaf_spots"
"Alternaria thunbergiae","leaf spot","leaf_spots","leaf_spots"
"Alternaria trachelospermi","leaf spot","leaf_spots","leaf_spots"
"Alternaria trachelospermicola","leaf spot","leaf_spots","leaf_spots"
"Alternaria tribuli","leaf spot","leaf_spots","leaf_spots"
"Alternaria triglochinicola","leaf spot","leaf_spots","leaf_spots"
"Alternaria triticicola","leaf spot","leaf_spots","leaf_spots"
"Alternaria tropaeolicola","leaf spot","leaf_spots","leaf_spots"
"Alternaria ulmi","leaf spot","leaf_spots","leaf_spots"
"Alternaria vaccariae","leaf spot","leaf_spots","leaf_spots"
"Alternaria vanuatuensis","leaf spot","leaf_spots","leaf_spots"
"Alternaria venezuelensis","leaf spot","leaf_spots","leaf_spots"
"Alternariaster helianthi","leaf spot","leaf_spots","leaf_spots"
"Alysidiella eucalypti","leaf spot","leaf_spots","leaf_spots"
"Alysidiella parasitica","leaf spot","leaf_spots","leaf_spots"
"Alysidiella suttonii","leaf spot","leaf_spots","leaf_spots"
"Amerodiscosiella indica","leaf spot","leaf_spots","leaf_spots"
"Anguillospora coryli","leaf spot","leaf_spots","leaf_spots"
"Anguillospora vermiformis","leaf spot","leaf_spots","leaf_spots"
"Anguillosporella coryli","leaf spot","leaf_spots","leaf_spots"
"Anguillosporella vermiformis","leaf spot","leaf_spots","leaf_spots"
"Ansatospora bromi","leaf spot","leaf_spots","leaf_spots"
"Anthracostroma persooniae","leaf spot","leaf_spots","leaf_spots"
"Apseudocercosporella trigonotidis","leaf spot","leaf_spots","leaf_spots"
"Arthrinium phaeospermum","leaf spot","leaf_spots","leaf_spots"
"Arxiella dolichandrae","leaf spot","leaf_spots","leaf_spots"
"Ascobolus trifolii","leaf spot","leaf_spots","leaf_spots"
"Ascochyta actaeae","leaf spot","leaf_spots","leaf_spots"
"Ascochyta alismatis","leaf spot","leaf_spots","leaf_spots"
"Ascochyta betae","leaf spot","leaf_spots","leaf_spots"
"Ascochyta boni-henrici","leaf spot","leaf_spots","leaf_spots"
"Ascochyta brachypodii","leaf spot","leaf_spots","leaf_spots"
"Ascochyta calamagrostidis","leaf spot","leaf_spots","leaf_spots"
"Ascochyta cannabis","leaf spot","leaf_spots","leaf_spots"
"Ascochyta chelidonii","leaf spot","leaf_spots","leaf_spots"
"Ascochyta chochrjakovii","leaf spot","leaf_spots","leaf_spots"
"Ascochyta desmazieri","leaf spot","leaf_spots","leaf_spots"
"Ascochyta dicentrae","leaf spot","leaf_spots","leaf_spots"
"Ascochyta doronici","leaf spot","leaf_spots","leaf_spots"
"Ascochyta fagi","leaf spot","leaf_spots","leaf_spots"
"Ascochyta glaucii","leaf spot","leaf_spots","leaf_spots"
"Ascochyta heraclei","leaf spot","leaf_spots","leaf_spots"
"Ascochyta marginata","leaf spot","leaf_spots","leaf_spots"
"Ascochyta matthiolae","leaf spot","leaf_spots","leaf_spots"
"Ascochyta menyanthis","leaf spot","leaf_spots","leaf_spots"
"Ascochyta nobilis","leaf spot","leaf_spots","leaf_spots"
"Ascochyta polemonii","leaf spot","leaf_spots","leaf_spots"
"Ascochyta rhei","leaf spot","leaf_spots","leaf_spots"
"Ascochyta ribis","leaf spot","leaf_spots","leaf_spots"
"Ascochyta spinaciicola","leaf spot","leaf_spots","leaf_spots"
"Ascospora cruenta","leaf spot","leaf_spots","leaf_spots"
"Ascospora podophylli","leaf spot","leaf_spots","leaf_spots"
"Asperisporium caricae","leaf spot","leaf_spots","leaf_spots"
"Asperisporium mikaniae","leaf spot","leaf_spots","leaf_spots"
"Asperisporium peucedani","leaf spot","leaf_spots","leaf_spots"
"Asterina benghalensis","leaf spot","leaf_spots","leaf_spots"
"Asteroma reticulatum","leaf spot","leaf_spots","leaf_spots"
"Atradidymella muscivora","leaf spot","leaf_spots","leaf_spots"
"Aurantiosacculus acutatus","leaf spot","leaf_spots","leaf_spots"
"Aurantiosacculus eucalyptorum","leaf spot","leaf_spots","leaf_spots"
"Aureobasidium iranianum","leaf spot","leaf_spots","leaf_spots"
"Aureobasidium microstictum","leaf spot","leaf_spots","leaf_spots"
"Aureobasidium proteae","leaf spot","leaf_spots","leaf_spots"
"Aureobasidium zeae","leaf spot","leaf_spots","leaf_spots"
"Bactridium album","leaf spot","leaf_spots","leaf_spots"
"Bagadiella lunata","leaf spot","leaf_spots","leaf_spots"
"Bagnisiopsis miconiae","leaf spot","leaf_spots","leaf_spots"
"Barretomyces calatheae","leaf spot","leaf_spots","leaf_spots"
"Batcheloromyces alistairii","leaf spot","leaf_spots","leaf_spots"
"Batcheloromyces eucalypti","leaf spot","leaf_spots","leaf_spots"
"Batcheloromyces sedgefieldii","leaf spot","leaf_spots","leaf_spots"
"Bipolaris austrostipae","leaf spot","leaf_spots","leaf_spots"
"Bipolaris axonopicola","leaf spot","leaf_spots","leaf_spots"
"Bipolaris bamagaensis","leaf spot","leaf_spots","leaf_spots"
"Bipolaris drechsleri","leaf spot","leaf_spots","leaf_spots"
"Bipolaris incurvata","leaf spot","leaf_spots","leaf_spots"
"Bipolaris micropus","leaf spot","leaf_spots","leaf_spots"
"Bipolaris microstegii","leaf spot","leaf_spots","leaf_spots"
"Bipolaris papendorfii","leaf spot","leaf_spots","leaf_spots"
"Bipolaris subramanianii","leaf spot","leaf_spots","leaf_spots"
"Bipolaris variabilis","leaf spot","leaf_spots","leaf_spots"
"Blastacervulus eucalypti","leaf spot","leaf_spots","leaf_spots"
"Blastacervulus eucalyptorum","leaf spot","leaf_spots","leaf_spots"
"Bloxamia cyatheicola","leaf spot","leaf_spots","leaf_spots"
"Botryosphaeria miconiae","leaf spot","leaf_spots","leaf_spots"
"Botryosphaeria philoprina","leaf spot","leaf_spots","leaf_spots"
"Botryosphaeria reticulata","leaf spot","leaf_spots","leaf_spots"
"Botryosphaeria rhodorae","leaf spot","leaf_spots","leaf_spots"
"Caliciopsis eucalypti","leaf spot","leaf_spots","leaf_spots"
"Calonectria aciculata","leaf spot","leaf_spots","leaf_spots"
"Calonectria brasiliensis","leaf spot","leaf_spots","leaf_spots"
"Calonectria hawksworthii","leaf spot","leaf_spots","leaf_spots"
"Calonectria hederae","leaf spot","leaf_spots","leaf_spots"
"Calonectria leucothoës","leaf spot","leaf_spots","leaf_spots"
"Calonectria madagascariensis","leaf spot","leaf_spots","leaf_spots"
"Calonectria queenslandica","leaf spot","leaf_spots","leaf_spots"
"Calonectria variabilis","leaf spot","leaf_spots","leaf_spots"
"Calophoma rosae","leaf spot","leaf_spots","leaf_spots"
"Camarosporium eucalypti","leaf spot","leaf_spots","leaf_spots"
"Camptomeris robiniae","leaf spot","leaf_spots","leaf_spots"
"Caryophylloseptoria pseudolychnidis","leaf spot","leaf_spots","leaf_spots"
"Castanediella communis","leaf spot","leaf_spots","leaf_spots"
"Castanediella eucalypti","leaf spot","leaf_spots","leaf_spots"
"Catenulocercospora fusimaculans","leaf spot","leaf_spots","leaf_spots"
"Catenulostroma wingfieldii","leaf spot","leaf_spots","leaf_spots"
"Centrospora asiminae","leaf spot","leaf_spots","leaf_spots"
"Centrospora bromi","leaf spot","leaf_spots","leaf_spots"
"Centrospora cantuariensis","leaf spot","leaf_spots","leaf_spots"
"Centrospora veratri","leaf spot","leaf_spots","leaf_spots"
"Cercoramularia koreana","leaf spot","leaf_spots","leaf_spots"
"Cercoseptoria amaranthicola","leaf spot","leaf_spots","leaf_spots"
"Cercoseptoria andropogonis","leaf spot","leaf_spots","leaf_spots"
"Cercoseptoria astragali","leaf spot","leaf_spots","leaf_spots"
"Cercoseptoria balsaminae","leaf spot","leaf_spots","leaf_spots"
"Cercoseptoria capsellae","leaf spot","leaf_spots","leaf_spots"
"Cercoseptoria caryigena","leaf spot","leaf_spots","leaf_spots"
"Cercoseptoria cerastii","leaf spot","leaf_spots","leaf_spots"
"Cercoseptoria crataegi","leaf spot","leaf_spots","leaf_spots"
"Cercoseptoria egenula","leaf spot","leaf_spots","leaf_spots"
"Cercoseptoria eriobotryicola","leaf spot","leaf_spots","leaf_spots"
"Cercoseptoria handelii","leaf spot","leaf_spots","leaf_spots"
"Cercoseptoria ipomoeae","leaf spot","leaf_spots","leaf_spots"
"Cercoseptoria iridis","leaf spot","leaf_spots","leaf_spots"
"Cercoseptoria lappulae","leaf spot","leaf_spots","leaf_spots"
"Cercoseptoria leptosperma","leaf spot","leaf_spots","leaf_spots"
"Cercoseptoria ligustrina","leaf spot","leaf_spots","leaf_spots"
"Cercoseptoria liquidambaricola","leaf spot","leaf_spots","leaf_spots"
"Cercoseptoria longispora","leaf spot","leaf_spots","leaf_spots"
"Cercoseptoria magnusiana","leaf spot","leaf_spots","leaf_spots"
"Cercoseptoria minuta","leaf spot","leaf_spots","leaf_spots"
"Cercoseptoria moravica","leaf spot","leaf_spots","leaf_spots"
"Cercoseptoria nymphaeacea","leaf spot","leaf_spots","leaf_spots"
"Cercoseptoria ocellata","leaf spot","leaf_spots","leaf_spots"
"Cercoseptoria oxyriae","leaf spot","leaf_spots","leaf_spots"
"Cercoseptoria pruni-persicae","leaf spot","leaf_spots","leaf_spots"
"Cercoseptoria prunicola","leaf spot","leaf_spots","leaf_spots"
"Cercoseptoria ribis","leaf spot","leaf_spots","leaf_spots"
"Cercoseptoria septoriopsidis","leaf spot","leaf_spots","leaf_spots"
"Cercoseptoria sesami","leaf spot","leaf_spots","leaf_spots"
"Cercoseptoria smithii","leaf spot","leaf_spots","leaf_spots"
"Cercoseptoria sublineolata","leaf spot","leaf_spots","leaf_spots"
"Cercoseptoria tecomae-heterophyllae","leaf spot","leaf_spots","leaf_spots"
"Cercoseptoria theae","leaf spot","leaf_spots","leaf_spots"
"Cercoseptoria tinea","leaf spot","leaf_spots","leaf_spots"
"Cercoseptoria vermiformis","leaf spot","leaf_spots","leaf_spots"
"Cercoseptoria whalianensis","leaf spot","leaf_spots","leaf_spots"
"Cercospora abelmoschi","leaf spot","leaf_spots","leaf_spots"
"Cercospora abutilonicola","leaf spot","leaf_spots","leaf_spots"
"Cercospora acaciae-confusae","leaf spot","leaf_spots","leaf_spots"
"Cercospora acaciae-mangii","leaf spot","leaf_spots","leaf_spots"
"Cercospora acalyphae","leaf spot","leaf_spots","leaf_spots"
"Cercospora acanthi","leaf spot","leaf_spots","leaf_spots"
"Cercospora acanthicola","leaf spot","leaf_spots","leaf_spots"
"Cercospora acericola","leaf spot","leaf_spots","leaf_spots"
"Cercospora acetosellae","leaf spot","leaf_spots","leaf_spots"
