"taxon","simplified_disease","simplified_disease_1","simplified_disease_2"
"Calonectria curvata","leaf spot, root rot","leaf_spots root_rot","leaf_spots rots"
"Calonectria insularis","leaf spot, root rot","leaf_spots root_rot","leaf_spots rots"
"Cylindrocladium curvatum","leaf spot, root rot","leaf_spots root_rot","leaf_spots rots"
"Alternaria alternata","leaf spot, rots, fruit drop","leaf_spots rots fruit_drop","leaf_spots rots"
"Alternaria angustiovoidea","leaf spot, rots, fruit drop","leaf_spots rots fruit_drop","leaf_spots rots"
"Alternaria astragali","leaf spot, rots, fruit drop","leaf_spots rots fruit_drop","leaf_spots rots"
"Alternaria brassicinae","leaf spot, rots, fruit drop","leaf_spots rots fruit_drop","leaf_spots rots"
"Alternaria broussonetiae","leaf spot, rots, fruit drop","leaf_spots rots fruit_drop","leaf_spots rots"
"Alternaria citri","leaf spot, rots, fruit drop","leaf_spots rots fruit_drop","leaf_spots rots"
"Alternaria citriarbusti","leaf spot, rots, fruit drop","leaf_spots rots fruit_drop","leaf_spots rots"
"Alternaria citricancri","leaf spot, rots, fruit drop","leaf_spots rots fruit_drop","leaf_spots rots"
"Alternaria citrimacularis","leaf spot, rots, fruit drop","leaf_spots rots fruit_drop","leaf_spots rots"
"Alternaria daucifolii","leaf spot, rots, fruit drop","leaf_spots rots fruit_drop","leaf_spots rots"
"Alternaria destruens","leaf spot, rots, fruit drop","leaf_spots rots fruit_drop","leaf_spots rots"
"Alternaria dumosa","leaf spot, rots, fruit drop","leaf_spots rots fruit_drop","leaf_spots rots"
"Alternaria godetiae","leaf spot, rots, fruit drop","leaf_spots rots fruit_drop","leaf_spots rots"
"Alternaria herbiphorbicola","leaf spot, rots, fruit drop","leaf_spots rots fruit_drop","leaf_spots rots"
"Alternaria interrupta","leaf spot, rots, fruit drop","leaf_spots rots fruit_drop","leaf_spots rots"
"Alternaria limoniasperae","leaf spot, rots, fruit drop","leaf_spots rots fruit_drop","leaf_spots rots"
"Alternaria mali","leaf spot, rots, fruit drop","leaf_spots rots fruit_drop","leaf_spots rots"
"Alternaria palandui","leaf spot, rots, fruit drop","leaf_spots rots fruit_drop","leaf_spots rots"
"Alternaria pellucida","leaf spot, rots, fruit drop","leaf_spots rots fruit_drop","leaf_spots rots"
"Alternaria perangusta","leaf spot, rots, fruit drop","leaf_spots rots fruit_drop","leaf_spots rots"
"Alternaria platycodonis","leaf spot, rots, fruit drop","leaf_spots rots fruit_drop","leaf_spots rots"
"Alternaria postmessia","leaf spot, rots, fruit drop","leaf_spots rots fruit_drop","leaf_spots rots"
"Alternaria pulvinifungicola","leaf spot, rots, fruit drop","leaf_spots rots fruit_drop","leaf_spots rots"
"Alternaria rhadina","leaf spot, rots, fruit drop","leaf_spots rots fruit_drop","leaf_spots rots"
"Alternaria sanguisorbae","leaf spot, rots, fruit drop","leaf_spots rots fruit_drop","leaf_spots rots"
"Alternaria seleniiphila","leaf spot, rots, fruit drop","leaf_spots rots fruit_drop","leaf_spots rots"
"Alternaria soliaegyptiaca","leaf spot, rots, fruit drop","leaf_spots rots fruit_drop","leaf_spots rots"
"Alternaria tenuis","leaf spot, rots, fruit drop","leaf_spots rots fruit_drop","leaf_spots rots"
"Alternaria tenuissima","leaf spot, rots, fruit drop","leaf_spots rots fruit_drop","leaf_spots rots"
"Alternaria tenuissima var. catharanthi","leaf spot, rots, fruit drop","leaf_spots rots fruit_drop","leaf_spots rots"
"Alternaria tenuissima var. godetiae","leaf spot, rots, fruit drop","leaf_spots rots fruit_drop","leaf_spots rots"
"Alternaria tenuissima var. trachelospermicola","leaf spot, rots, fruit drop","leaf_spots rots fruit_drop","leaf_spots rots"
"Alternaria tomaticola","leaf spot, rots, fruit drop","leaf_spots rots fruit_drop","leaf_spots rots"
"Alternaria toxicogenica","leaf spot, rots, fruit drop","leaf_spots rots fruit_drop","leaf_spots rots"
"Alternaria turkisafria","leaf spot, rots, fruit drop","leaf_spots rots fruit_drop","leaf_spots rots"
"Alternaria vaccinii","leaf spot, rots, fruit drop","leaf_spots rots fruit_drop","leaf_spots rots"
"Alternaria yali-inficiens","leaf spot, rots, fruit drop","leaf_spots rots fruit_drop","leaf_spots rots"
"Alternaria yaliinficiens","leaf spot, rots, fruit drop","leaf_spots rots fruit_drop","leaf_spots rots"
"Clasterosporium tenuissimum","leaf spot, rots, fruit drop","leaf_spots rots fruit_drop","leaf_spots rots"
"Helminthosporium tenuissimum","leaf spot, rots, fruit drop","leaf_spots rots fruit_drop","leaf_spots rots"
"Macrosporium tenuissimum","leaf spot, rots, fruit drop","leaf_spots rots fruit_drop","leaf_spots rots"
"Torula alternata","leaf spot, rots, fruit drop","leaf_spots rots fruit_drop","leaf_spots rots"
"Cochliobolus geniculatus","leaf spot, secondary root rot","leaf_spots secondary_root_rot","leaf_spots rots"
"Curvularia geniculata","leaf spot, secondary root rot","leaf_spots secondary_root_rot","leaf_spots rots"
"Helminthosporium geniculatum","leaf spot, secondary root rot","leaf_spots secondary_root_rot","leaf_spots rots"
"Calonectria pteridis","leaf spot, stalk,root rot","leaf_spots stalk root_rot","leaf_spots rots"
"Colletotrichopsis graminicola","leaf spot, stalk rot","leaf_spots stalk_rot","leaf_spots rots"
"Colletotrichum graminicola","leaf spot, stalk rot","leaf_spots stalk_rot","leaf_spots rots"
"Dicladium graminicola","leaf spot, stalk rot","leaf_spots stalk_rot","leaf_spots rots"
"Steirochaete graminicola","leaf spot, stalk rot","leaf_spots stalk_rot","leaf_spots rots"
"Phomopsis mangiferae","leaf spot, stem-end,fruit rots","leaf_spots stem-end fruit_rots","leaf_spots rots"
"Alternaria putrefaciens","leaf spot.  ring spot of clovers,lucerne, red nose of dwarf beans, black stalk rot of onions","leaf_spots.__ring_spot_of_clovers lucerne red_nose_of_dwarf_beans black_stalk_rot_of_onions","leaf_spots rots"
"Clasterosporium putrefaciens","leaf spot.  ring spot of clovers,lucerne, red nose of dwarf beans, black stalk rot of onions","leaf_spots.__ring_spot_of_clovers lucerne red_nose_of_dwarf_beans black_stalk_rot_of_onions","leaf_spots rots"
"Pleospora herbarum","leaf spot.  ring spot of clovers,lucerne, red nose of dwarf beans, black stalk rot of onions","leaf_spots.__ring_spot_of_clovers lucerne red_nose_of_dwarf_beans black_stalk_rot_of_onions","leaf_spots rots"
"Sphaeria herbarum","leaf spot.  ring spot of clovers,lucerne, red nose of dwarf beans, black stalk rot of onions","leaf_spots.__ring_spot_of_clovers lucerne red_nose_of_dwarf_beans black_stalk_rot_of_onions","leaf_spots rots"
"Sphaeria herbarum var. scrophulariae","leaf spot.  ring spot of clovers,lucerne, red nose of dwarf beans, black stalk rot of onions","leaf_spots.__ring_spot_of_clovers lucerne red_nose_of_dwarf_beans black_stalk_rot_of_onions","leaf_spots rots"
"Stemphylium brassicicola","leaf spot.  ring spot of clovers,lucerne, red nose of dwarf beans, black stalk rot of onions","leaf_spots.__ring_spot_of_clovers lucerne red_nose_of_dwarf_beans black_stalk_rot_of_onions","leaf_spots rots"
"Stemphylium cremanthodii","leaf spot.  ring spot of clovers,lucerne, red nose of dwarf beans, black stalk rot of onions","leaf_spots.__ring_spot_of_clovers lucerne red_nose_of_dwarf_beans black_stalk_rot_of_onions","leaf_spots rots"
"Stemphylium mali","leaf spot.  ring spot of clovers,lucerne, red nose of dwarf beans, black stalk rot of onions","leaf_spots.__ring_spot_of_clovers lucerne red_nose_of_dwarf_beans black_stalk_rot_of_onions","leaf_spots rots"
"Microascus cirrosus","leaf spot.  seed rot","leaf_spots.__seed_rot","leaf_spots rots"
"Cochliobolus carbonum","leaf spot. ear,kernel rot.   northern corn leaf spot","leaf_spots._ear kernel_rot.___northern_corn_leaf_spots","leaf_spots rots"
"Dendryphiella vinosa","some leaf spots,fruit rots","some_leaf_spots fruit_rots","leaf_spots rots"
"Dendryphion vinosum","some leaf spots,fruit rots","some_leaf_spots fruit_rots","leaf_spots rots"
"Helminthosporium vinosum","some leaf spots,fruit rots","some_leaf_spots fruit_rots","leaf_spots rots"
"Calonectria indusiata","leaf spot, root rot, stem,petiole lesions","leaf_spots root_rot stem petiole_lesions","leaf_spots rots stem_lesions petiole_lesions"
"Calonectria theae","leaf spot, root rot, stem,petiole lesions","leaf_spots root_rot stem petiole_lesions","leaf_spots rots stem_lesions petiole_lesions"
"Calonectria theae var. crotalariae","leaf spot, root rot, stem,petiole lesions","leaf_spots root_rot stem petiole_lesions","leaf_spots rots stem_lesions petiole_lesions"
"Candelospora theae","leaf spot, root rot, stem,petiole lesions","leaf_spots root_rot stem petiole_lesions","leaf_spots rots stem_lesions petiole_lesions"
"Cercosporella theae","leaf spot, root rot, stem,petiole lesions","leaf_spots root_rot stem petiole_lesions","leaf_spots rots stem_lesions petiole_lesions"
"Cylindrocladium theae","leaf spot, root rot, stem,petiole lesions","leaf_spots root_rot stem petiole_lesions","leaf_spots rots stem_lesions petiole_lesions"
"Nectria indusiata","leaf spot, root rot, stem,petiole lesions","leaf_spots root_rot stem petiole_lesions","leaf_spots rots stem_lesions petiole_lesions"
"Brachysporium torulosum","leaf spot, speckle (swamp spot), black tip, rot of pseudostem","leaf_spots speckle_(swamp_spot) black_tip rot_of_pseudostem","leaf_spots spots rots"
"Deightoniella torulosa","leaf spot, speckle (swamp spot), black tip, rot of pseudostem","leaf_spots speckle_(swamp_spot) black_tip rot_of_pseudostem","leaf_spots spots rots"
"Helminthosporium torulosum","leaf spot, speckle (swamp spot), black tip, rot of pseudostem","leaf_spots speckle_(swamp_spot) black_tip rot_of_pseudostem","leaf_spots spots rots"
"Ascochyta aquilegiae","dark leaf spots, stem lesions, crown rot","dark_leaf_spots stem_lesions crown_rot","leaf_spots stem_lesions rots"
"Depazea aquilegiae","dark leaf spots, stem lesions, crown rot","dark_leaf_spots stem_lesions crown_rot","leaf_spots stem_lesions rots"
"Stagonosporopsis aquilegiae","dark leaf spots, stem lesions, crown rot","dark_leaf_spots stem_lesions crown_rot","leaf_spots stem_lesions rots"
"Paraphoma pye","lesions, crown rot","lesions crown_rot","lesions rots"
"Tripospermum myrti","lesions, rot","lesions rot","lesions rots"
"Triposporium myrti","lesions, rot","lesions rot","lesions rots"
"Colletotrichum tropicale","lesions, fruit rot; also endophytic","lesions fruit_rot _also_endophytic","lesions rots endophytic"
"Penicillium verrucosum","blue mold, rots","blue_mold rots","molds rots"
"Penicillium verrucosum var. corymbiferum","blue mold, rots","blue_mold rots","molds rots"
"Penicillium verrucosum var. cyclopium","blue mold, rots","blue_mold rots","molds rots"
"Penicillium verrucosum var. ochraceum","blue mold, rots","blue_mold rots","molds rots"
"Penicillium expansum","blue mold, fruit rot, postharvest decay","blue_mold fruit_rot postharvest_decay","molds rots post_harvest_disease"
"Penicillium expansum var. crustosum","blue mold, fruit rot, postharvest decay","blue_mold fruit_rot postharvest_decay","molds rots post_harvest_disease"
"Penicillium variabile","blue mold, fruit rot, postharvest decay","blue_mold fruit_rot postharvest_decay","molds rots post_harvest_disease"
"Camarosporidiella elaeagnicola","necrotrophic","necrotrophic","necrotrophic"
"Camarosporidiella schulzeri","necrotrophic","necrotrophic","necrotrophic"
"Oospora verticillioides","bakanae disease of rice; fig endosepsis; ear rot of maize","bakanae_disease_of_rice _fig_endosepsis _ear_rot_of_maize","rots"
"Ilyonectria strelitziae","basal dry stem rot","basal_dry_stem_rot","rots"
"Sparassis latifolia","basal rot; leaf yellowing","basal_rot _leaf_yellowing","rots"
"Colletotrichum acerbum","bitter rot","bitter_rot","rots"
"Ilyonectria capensis","black foot rot","black_foot_rot","rots"
"Ilyonectria leucospermi","black foot rot","black_foot_rot","rots"
"Ilyonectria protearum","black foot rot","black_foot_rot","rots"
"Berkeleyomyces basicola","black root rot","black_root_rot","rots"
"Berkeleyomyces rouxiae","black root rot","black_root_rot","rots"
"Dactylonectria ecuadoriensis","black root rot","black_root_rot","rots"
"Rosellinia pepo","black root rot","black_root_rot","rots"
"Thielaviopsis basicola","black root rot","black_root_rot","rots"
"Torula basicola","black root rot","black_root_rot","rots"
"Trichocladium basicola","black root rot","black_root_rot","rots"
"Phomopsis cucurbitae","black rot","black_rot","rots"
"Alternaria interna","black rot of fruit","black_rot_of_fruit","rots"
"Macrosporium internum","black rot of fruit","black_rot_of_fruit","rots"
"Botryosphaeria bidwellii","black rot of grapevine","black_rot_of_grapevine","rots"
"Carlia bidwellii","black rot of grapevine","black_rot_of_grapevine","rots"
"Guignardia bidwellii","black rot of grapevine","black_rot_of_grapevine","rots"
"Laestadia bidwellii","black rot of grapevine","black_rot_of_grapevine","rots"
"Naemospora ampelicida","black rot of grapevine","black_rot_of_grapevine","rots"
"Phyllosticta ampelicida","black rot of grapevine","black_rot_of_grapevine","rots"
"Physalospora bidwellii","black rot of grapevine","black_rot_of_grapevine","rots"
"Sphaeria bidwellii","black rot of grapevine","black_rot_of_grapevine","rots"
"Rosellinia compacta","black rot of innoculated rootstock","black_rot_of_innoculated_rootstock","rots"
"Aspergillus nidulans","boll rot","boll_rot","rots"
"Aspergillus nidulans var. dentatus","boll rot","boll_rot","rots"
"Aspergillus nidulans var. echinulatus","boll rot","boll_rot","rots"
"Emericella nidulans","boll rot","boll_rot","rots"
"Emericella nidulans var. aurantiobrunnea","boll rot","boll_rot","rots"
"Emericella nidulans var. dentata","boll rot","boll_rot","rots"
"Emericella nidulans var. echinulata","boll rot","boll_rot","rots"
"Sterigmatocystis nidulans","boll rot","boll_rot","rots"
"Bifusella camelliae","branch rot","branch_rot","rots"
"Fomitopsis spraguei","brown, cubical root rot","brown cubical_root_rot","rots"
"Polyporus spraguei","brown, cubical root rot","brown cubical_root_rot","rots"
"Trametes spraguei","brown, cubical root rot","brown cubical_root_rot","rots"
"Tyromyces spraguei","brown, cubical root rot","brown cubical_root_rot","rots"
"Tyromyces subtrimiticus var. aurantitingens","brown, cubical root rot","brown cubical_root_rot","rots"
"Oligoporus balsameus","brown cubical butt rot","brown_cubical_butt_rot","rots"
"Polyporus balsameus","brown cubical butt rot","brown_cubical_butt_rot","rots"
"Postia balsamea","brown cubical butt rot","brown_cubical_butt_rot","rots"
"Tyromyces balsameus","brown cubical butt rot","brown_cubical_butt_rot","rots"
"Antrodia serialis","brown cubical heart-rot","brown_cubical_heart-rot","rots"
"Polyporus serialis","brown cubical heart-rot","brown_cubical_heart-rot","rots"
"Trametes serialis","brown cubical heart-rot","brown_cubical_heart-rot","rots"
"Monilinia fructigena","brown fruit rot. overwinters in mummified fruits","brown_fruit_rot._overwinters_in_mummified_fruits","rots"
"Boletus hepaticus","brown heart rot, butt rot, red wood discoloration","brown_heart_rot butt_rot red_wood_discoloration","rots"
"Fistulina hepatica","brown heart rot, butt rot, red wood discoloration","brown_heart_rot butt_rot red_wood_discoloration","rots"
"Phaeolus schweinitzii","brown root,butt rot","brown_root butt_rot","rots"
"Polyporus schweinitzii","brown root,butt rot","brown_root butt_rot","rots"
"Grandinia spathulata","brown rot","brown_rot","rots"
"Hydnum spathulatum","brown rot","brown_rot","rots"
"Hyphodontia spathulata","brown rot","brown_rot","rots"
"Laetiporus ailaoshanensis","brown rot","brown_rot","rots"
"Laetiporus huroniensis","brown rot","brown_rot","rots"
"Laetiporus zonatus","brown rot","brown_rot","rots"
"Odontia spathulata","brown rot","brown_rot","rots"
"Penicillium copticola","bud rot","bud_rot","rots"
"Embellisia allii","bulb rot","bulb_rot","rots"
"Helminthosporium allii","bulb rot","bulb_rot","rots"
"Ilyonectria liliigena","bulb rot","bulb_rot","rots"
"Penicillium corymbiferum","bulb/corm rot","bulb corm_rot","rots"
"Penicillium hirsutum","bulb/corm rot","bulb corm_rot","rots"
"Penicillium hirsutum var. hordei","bulb/corm rot","bulb corm_rot","rots"
"Neofabraea malicorticis","bull's eye rot","bull's_eye_rot","rots"
"Pezicula malicorticis","bull's eye rot","bull's_eye_rot","rots"
"Cryptosporiopsis kienholzii","bull's eye rot (bitter rot)","bull's_eye_rot_(bitter_rot)","rots"
"Inonotus circinatus","butt rot","butt_rot","rots"
"Onnia circinata","butt rot","butt_rot","rots"
"Polyporus circinatus","butt rot","butt_rot","rots"
"Trametes circinatus","butt rot","butt_rot","rots"
"Boletus lucidus","butt rot, lethal root rot","butt_rot lethal_root_rot","rots"
"Fomes lucidus","butt rot, lethal root rot","butt_rot lethal_root_rot","rots"
"Ganoderma lucidum","butt rot, lethal root rot","butt_rot lethal_root_rot","rots"
"Ganoderma lucidum subsp. resinaceum","butt rot, lethal root rot","butt_rot lethal_root_rot","rots"
"Ganoderma lucidum subsp. valesiacum","butt rot, lethal root rot","butt_rot lethal_root_rot","rots"
"Ganoderma lucidum var. resinaceum","butt rot, lethal root rot","butt_rot lethal_root_rot","rots"
"Grifola lucida","butt rot, lethal root rot","butt_rot lethal_root_rot","rots"
"Phaeoporus lucidus","butt rot, lethal root rot","butt_rot lethal_root_rot","rots"
"Placodes lucidus","butt rot, lethal root rot","butt_rot lethal_root_rot","rots"
"Polyporus lucidus","butt rot, lethal root rot","butt_rot lethal_root_rot","rots"
"Polyporus lucidus var. zonatus","butt rot, lethal root rot","butt_rot lethal_root_rot","rots"
"Boletus fasciatus","butt rot, white heart rot","butt_rot white_heart_rot","rots"
"Fomes fasciatus","butt rot, white heart rot","butt_rot white_heart_rot","rots"
"Boletus frondosus","butt rot of heartwood; not pathogenic.  commercially harvested as an edible fungus","butt_rot_of_heartwood _not_pathogenic.__commercially_harvested_as_an_edible_fungus","rots"
"Caloporus frondosus","butt rot of heartwood; not pathogenic.  commercially harvested as an edible fungus","butt_rot_of_heartwood _not_pathogenic.__commercially_harvested_as_an_edible_fungus","rots"
"Cladodendron frondosus","butt rot of heartwood; not pathogenic.  commercially harvested as an edible fungus","butt_rot_of_heartwood _not_pathogenic.__commercially_harvested_as_an_edible_fungus","rots"
"Cladomeris frondosa","butt rot of heartwood; not pathogenic.  commercially harvested as an edible fungus","butt_rot_of_heartwood _not_pathogenic.__commercially_harvested_as_an_edible_fungus","rots"
"Grifola frondosa","butt rot of heartwood; not pathogenic.  commercially harvested as an edible fungus","butt_rot_of_heartwood _not_pathogenic.__commercially_harvested_as_an_edible_fungus","rots"
"Merisma frondosum","butt rot of heartwood; not pathogenic.  commercially harvested as an edible fungus","butt_rot_of_heartwood _not_pathogenic.__commercially_harvested_as_an_edible_fungus","rots"
"Polypilus frondosus","butt rot of heartwood; not pathogenic.  commercially harvested as an edible fungus","butt_rot_of_heartwood _not_pathogenic.__commercially_harvested_as_an_edible_fungus","rots"
"Polyporus frondosus","butt rot of heartwood; not pathogenic.  commercially harvested as an edible fungus","butt_rot_of_heartwood _not_pathogenic.__commercially_harvested_as_an_edible_fungus","rots"
"Musicillium theobromae","cigar-end rot of banana","cigar-end_rot_of_banana","rots"
"Stachylidium theobromae","cigar-end rot of banana","cigar-end_rot_of_banana","rots"
"Verticillium theobromae","cigar-end rot of banana","cigar-end_rot_of_banana","rots"
"Lasiodiplodia macrospora","collar,root rot","collar root_rot","rots"
"Penicillium purpurogenum","collar,root rots","collar root_rots","rots"
"Fusarium chlamydosporum","collar rot","collar_rot","rots"
"Boletus ribis","collar rot, root rot","collar_rot root_rot","rots"
"Fomes ribis","collar rot, root rot","collar_rot root_rot","rots"
"Lasiodiplodia subglobosa","collar rot, root rot","collar_rot root_rot","rots"
"Phellinus ribis","collar rot, root rot","collar_rot root_rot","rots"
"Phylloporia ribis","collar rot, root rot","collar_rot root_rot","rots"
"Polyporus ribis","collar rot, root rot","collar_rot root_rot","rots"
"Pyrenochaeta lycopersici","corky root rot","corky_root_rot","rots"
"Acrocalymma medicaginis","crown,root rot","crown root_rot","rots"
"Fusarium algeriense","crown rot","crown_rot","rots"
"Paraphoma vinacea","crown rot","crown_rot","rots"
"Arthrinium qinlingense","culm rot","culm_rot","rots"
"Cylindrocladiella peruviana","cutting,root rots","cutting root_rots","rots"
"Cylindrocladium peruvianum","cutting,root rots","cutting root_rots","rots"
"Cylindrocladiella lageniformis","cutting, trunk,root rot","cutting trunk root_rot","rots"
"Calonectria putriramosa","cutting rot","cutting_rot","rots"
"Sporoschisma hemipsilum","decaying","decaying","rots"
"Alternaria caudata","decaying substrates","decaying_substrates","rots"
"Macrosporium caudatum","decaying substrates","decaying_substrates","rots"
"Diplodia olivarum","drupe rot","drupe_rot","rots"
"Ganoderma boninense","dry rot","dry_rot","rots"
"Ganoderma orbiforme","dry rot","dry_rot","rots"
"Meruliporia incrassata","dry rot of timber, decay of structural timber","dry_rot_of_timber decay_of_structural_timber","rots"
"Merulius incrassatus","dry rot of timber, decay of structural timber","dry_rot_of_timber decay_of_structural_timber","rots"
"Poria incrassata","dry rot of timber, decay of structural timber","dry_rot_of_timber decay_of_structural_timber","rots"
"Serpula incrassata","dry rot of timber, decay of structural timber","dry_rot_of_timber decay_of_structural_timber","rots"
"Boletus lacrymans","dry rot; a major destroyer of construction materials","dry_rot _a_major_destroyer_of_construction_materials","rots"
"Merulius lacrimans","dry rot; a major destroyer of construction materials","dry_rot _a_major_destroyer_of_construction_materials","rots"
"Merulius lacrymans","dry rot; a major destroyer of construction materials","dry_rot _a_major_destroyer_of_construction_materials","rots"
"Serpula lacrymans","dry rot; a major destroyer of construction materials","dry_rot _a_major_destroyer_of_construction_materials","rots"
