"Genus","Species","Variety","Name","CBS","SporeType","SporeName","SporeDim1_min2","SporeDim1_min","SporeDim1_max","SporeDim1_max2","SporeDim2_min2","SporeDim2_min","SporeDim2_max","SporeDim2_max2","Spore_units","SporeArea","Diameter1","Diameter2","Diam_units","ColonyArea","Comments","Growing_days","Temperature","Media","ColonyComments","Phylum","spore_width","spore_length"
"Typhula","ishikariensis","ishikariensis","Typhula ishikariensis","","asexual","conidia",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"cm",NA,NA,NA,NA,NA,"","Ascomycota",NA,NA
"Ulocladium","consortiale","","Ulocladium consortiale","","asexual","conidia",NA,16,34,NA,NA,10,15,NA,"um",245.436926061703,5,7,"cm",27.4889357189107,"",6,26.5,"MEA","","Ascomycota",NA,NA
"Umbelopsis","angularis","","Umbelopsis angularis","603.68","asexual","conidia",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1.6,1.6,"cm",2.01061929829747,"",5,20,"MEA","","Ascomycota",NA,NA
"Umbelopsis","isabellina","","Umbelopsis isabellina","","asexual","conidia",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1.7,1.7,"cm",2.26980069221863,"",5,20,"MEA","","Ascomycota",NA,NA
"Umbelopsis","nana","","Umbelopsis nana","444.68","asexual","conidia",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,0.7,1.4,"cm",0.769690200129499,"",5,20,"MEA","","Ascomycota",NA,NA
"Umbelopsis","ramanniana","","Umbelopsis ramanniana","219.47","asexual","conidia",NA,2.5,5.5,NA,NA,1.5,3,NA,"um",7.06858347057703,2.4,2.7,"cm",5.08938009881547,"",5,20,"MEA","","Ascomycota",NA,NA
"Umbelopsis","vinacea","","Umbelopsis vinacea","561.63","asexual","conidia",NA,3,5,8,NA,3,5,NA,"um",12.5663706143592,1.5,1.7,"cm",2.00276531666349,"",5,20,"MEA","","Ascomycota",NA,NA
"Varicosporium","elodeae","","Varicosporium elodeae","952.72","asexual","conidia",NA,60,120,NA,NA,3,3,NA,"um",212.057504117311,2.5,2.5,"cm",4.90873852123405,"",10,20,"OA","","Ascomycota",NA,NA
"Verticillium","albo-atrum","","Verticillium albo-atrum","454.51","asexual","conidia",NA,3.5,10.5,12.5,NA,2,5,NA,"um",19.2422550032375,2.5,2.5,"cm",4.90873852123405,"",10,20,"PDA/MEA","","Ascomycota",NA,NA
"Verticillium","dahliae","","Verticillium dahliae","205.26","asexual","conidia",NA,2.5,6,8,NA,1.4,3.2,NA,"um",7.67726704721006,1.8,2.7,"cm",3.8170350741116,"",10,20,"PDA/MEA","","Ascomycota",NA,NA
"Verticillium","nubilum","","Verticillium nubilum","","asexual","conidia",NA,4,10,12.5,NA,2.5,3.5,NA,"um",16.4933614313464,6,6,"cm",28.2743338823081,"",14,20,"PDA","","Ascomycota",NA,NA
"Volutella","ciliata","","Volutella ciliata","426.54","asexual","conidia",NA,4,6,9,NA,1.5,2,2.5,"um",6.87223392972767,3,3,"cm",7.06858347057703,"",10,20,"OA","","Ascomycota",NA,NA
"Wallemia","sebi","","Wallemia sebi","","asexual","conidia",NA,2.5,3.5,NA,NA,2.5,3.5,NA,"um",7.06858347057703,0.5,0.5,"cm",0.196349540849362,"",10,24,NA,"","Ascomycota",NA,NA
"Wardomyces","columbinus","","Wardomyces columbinus","","asexual","conidia",NA,6,7.5,NA,NA,2.5,4,NA,"um",17.2296722095315,3,5,"cm",11.7809724509617,"",30,20,"MEA","","Ascomycota",NA,NA
"Wardomyces","simplex","","Wardomyces simplex","235.66","asexual","conidia",NA,6.5,8.5,NA,NA,3,5.5,NA,"um",25.0345664582937,2.5,2.5,"cm",4.90873852123405,"",14,20,"MEA","","Ascomycota",NA,NA
"Zygorhynchus","heterogamus","","Zygorhynchus heterogamus","","asexual","chlamydospore",NA,6.5,21,NA,NA,6.5,21,NA,"um",148.48934026733,9,9,"cm",63.6172512351933,"",10,22.5,"MEA","","Mucoromycotina",NA,NA
"Zygorhynchus","heterogamus","","Zygorhynchus heterogamus","","sexual","zygospores",NA,30,70,NA,NA,30,70,NA,"um",1963.49540849362,9,9,"cm",63.6172512351933,"",10,22.5,"MEA","","Mucoromycotina",NA,NA
"Zygorhynchus","heterogamus","","Zygorhynchus heterogamus","","asexual","sporangiospore",NA,4,6.5,NA,NA,2,4,NA,"um",12.3700210735098,9,9,"cm",63.6172512351933,"",10,22.5,"MEA","","Mucoromycotina",NA,NA
"Zygorhynchus","moelleri","","Zygorhynchus moelleri","501.66","asexual","chlamydospore",NA,13,13,NA,NA,13,13,NA,"um",132.732289614169,9,9,"cm",63.6172512351933,"",11,22.5,"MEA","","Mucoromycotina",NA,NA
"Zygorhynchus","moelleri","","Zygorhynchus moelleri","501.66","sexual","zygospores",NA,30,35,NA,NA,30,35,NA,"um",829.576810088555,9,9,"cm",63.6172512351933,"",11,22.5,"MEA","","Mucoromycotina",NA,NA
"Zygorhynchus","moelleri","","Zygorhynchus moelleri","501.66","asexual","sporangiospore",NA,3,6.5,NA,NA,2,3.3,NA,"um",9.88619938176538,9,9,"cm",63.6172512351933,"",11,22.5,"MEA","","Mucoromycotina",NA,NA
