"text_entry","spec","spore_type","measure_orig","Dim1","Dim2","Dim3"
"zygospores globose, slightly compressed between the suspensors, (40-)50-65(-80) a in diam., brownish, tuberculate; suspensors eqnal, smooth, hyaline. 18-35 x 25-35 µm;","Cunninghamella blakesleeana_7213_278","zygospores",". 18-35 x 25-35",26.5,30,NA
"Zygospores on YpSs globose to subglobose, (42-) 52-78(-105) µm","Thamnostylum lucknowense_26987_34493","Zygospores","(42-) 52-78(-105)",65,NA,NA
"Zygospores globose, 70-85 µm","Mucor oudemansii_167463_13941","Zygospores","70-85",77.5,NA,NA
"Zygospores (from Schipper, 1976) globose or sub-globose, up to 110 µm","Mucor oudemansii_167463_14828","Zygospores","110",110,NA,NA
"Azygospores sometimes present. Chlamydospores numerous in aerial mycelium, sporangiophores and sometimes in the columellae and suspensors, doliiform, sub-globose or globose, often wider than hyphae and up to 30 µm","Mucor oudemansii_167463_14828","Azygospores","30",30,NA,NA
"zygospores [CBS 124.23 (-1-) x CBS 260.68 (-) on cherry agar, at 10° C] in the aerial mycelium, globose or nearly so, up to [p. 22] 110 µm","Mucor oudemansii_167463_14990","zygospores",". 22] 110",NA,NA,NA
"zygospores 41-83.5(94) µm","Mycocladus corymbifer_162923_423","zygospores","41-83.5(94)",83.5,NA,NA
"Zygospores short-ellipsoidal between suspensors, 60-100-45-80 µm,","Mycocladus corymbifer_162923_11404","Zygospores","60-100-45-80",72.5,NA,NA
"Zygospores (fide Ellis & Hesseltine, 1966, p. 68) heterothallic, 41-83,5 (-94) µm","Mycocladus corymbifer_162923_13935","Zygospores","41-83,5 (-94)",83.5,NA,NA
"Zygospores (compiled from Ellis & Hesseltine, 1966 and Nottebrock, Scholer & Wall, 1974) borne in the aerial mycelium, globose to slightly compressed, 41-94 µm","Mycocladus corymbifer_162923_14820","Zygospores","41-94",67.5,NA,NA
"zygospores 50-80 µm","Mycocladus ramosus_193849_422","zygospores","50-80",65,NA,NA
"Zygospores (fide Ellis & Hesseltine 1966, p. 62) heterothallic, 50-80 (rarely up to 85,5 x 102,5) µm","Mycocladus ramosus_193849_13936","Zygospores","85,5 x 102,5)",85.5,102.5,NA
"zygospores [CBS 115.08 (+) x CBS 238.35 (-) on cherry agar at 10°C] in the lower portion of the colony, on hyphae bearing both zygospores and sporangia, globose or nearly so, up to 90 µm","Mucor dimorphosporus f. sphaerosporus_151435_14989","zygospores","90",90,NA,NA
"zygospores and sporangia, globose or nearly so, up to 90 µm","Mucor dimorphosporus f. sphaerosporus_151435_14989","zygospores","90",90,NA,NA
"Zygospores biconical, 49-55 x 7-8 µm,","Stachylina reflexa_139505_50540","Zygospores","49-55 x 7-8",52,7.5,NA
"zygospores 30-70 µm","Mucor angarensis_104699_139","zygospores","30-70",50,NA,NA
"zygospores [CBS 169.25 (-) x CBS 225.29 (+), on cherry agar at 15°C] slightly compressed between suspensors, up to 210 x 90 (240 x 210) µm,","Mucor piriformis_16416_15866","zygospores","210 x 90 (240 x 210)",210,165,210
"Zygospores borne between opposed suspensors, subglobose, up to 210 (-240) x 190 (-210) µm,","Mucor piriformis_16416_18592","Zygospores","210 (-240) x 190 (-210)",225,200,NA
"zygospores forming at 15-20° C but not at 7° or 24° C on special media, located just above substrate between equal tong-shaped suspensors, black, globose, faintly tuberculate, fragile (breaking readily under cover slips), 250-350 µm","Mucor phycomyces_119806_255","zygospores",")250-350",300,NA,NA
"zygospores (CBS 412.66 (+) x CBS 208.28 (-) on beerwort agar at 20°C) in the aerial mycelium, reddish brown, up to 70 µm","Mucor parasiticus_142465_15808","zygospores","70",70,NA,NA
"Zygospores globose tosubglobose, 92-106 µm","Mortierella globulifera_15987_18587","Zygospores","92-106",99,NA,NA
"Zygospores (50-)70-100(-125) µm","Helicostylum repens_143037_34495","Zygospores","(50-)70-100(-125)",85,NA,NA
"zygospores [CBS 108.17 (-) x CBS 277.49 (+), on beerwort agar at 25°C] globose to slightly compressed between suspensors, up to 115 x 105 µm,","Mucor lusitanicus_16380_14982","zygospores","115 x 105",115,105,NA
"Zygospores 4-8 per sporangium, reniform, 9-12 µm","Sclerospora graminicola_123966_14419","Zygospores","9-12",10.5,NA,NA
"Zygospores are unknown. A. harzii (Berl. & De Toni) Rosenberg 1959 was allegedly distinguished by its larger sporangia but falls within the range of variation of A. elegans. Primary sporangia mostly 60-80 µm,","Rhizopus elegans_155897_13834","Zygospores","60-80",70,NA,NA
"zygospores 25-47 µm","Chaetocladium brefeldii_4312_261","zygospores","25-47",36,NA,NA
"zygospores formed in clumps on tufts of aerial mycelium that arise from stolons or other aerial mycelium above the substrate, many zygospores not maturing; zygospore-producing hyphae hyaline, smoothwalled, irregularly branched, up to 13 µm","Chaetocladium brefeldii_4312_261","zygospores","13",13,NA,NA
"zygospores not maturing; zygospore-producing hyphae hyaline, smoothwalled, irregularly branched, up to 13 µm","Chaetocladium brefeldii_4312_261","zygospores","13",13,NA,NA
"Zygospores formed from tongs-1ike often slightly unequal, apposed suspensors, brown to reddish-brown, translucent, with a smooth, thin outer layer and a striate, thick inner layer, 30-105 µm","Choanephora cucurbitarum_33658_406","Zygospores","30-105",67.5,NA,NA
"Zygospores globose to subglobose, (42-) 54 (-80) x (40-) 52 (-70) µm,","Mortierella alpina_15852_18585","Zygospores","(42-) 54 (-80) x (40-) 52 (-70)",54,52,NA
"Zygospores globose and 18-58 µm","Zygorhynchus moelleri_29457_38487","Zygospores","18-58",38,NA,NA
"zygospores forming at 15-20° C but not at 7° or 24° C on special media, located just above substrate between equal tong-shaped suspensors, black, globose, faintly tuberculate, fragile (breaking readily under cover slips), 250-350 µm","Ulva nitens_150608_255","zygospores",")250-350",300,NA,NA
"zygospores [CBS 234.35 (-) x 235.35 (+), on PDA at 15°C] borne chiefly in the upper portion of the aerial mycelium, often in a ladderlike fashion, spherical, compressed between suspensors, up to 180 x 165 µm,","Mucor flavus_16285_15871","zygospores","180 x 165",180,165,NA
"zygospores (CBS 412.71 x CBS 250.35, on cherry agar at 10°C) up to 65 x 70 µm,","Mucor silvaticus_16493_7899","zygospores","65 x 70",65,70,NA
"zygospores [CBS 115.08 (+) x CBS 238.35 (-) on cherry agar at 10°C] in the lower portion of the colony, on hyphae bearing both zygospores and sporangia, globose or nearly so, up to 90 µm","Mucor sphaerosporus_16496_14989","zygospores","90",90,NA,NA
"zygospores and sporangia, globose or nearly so, up to 90 µm","Mucor sphaerosporus_16496_14989","zygospores","90",90,NA,NA
"zygospores (homothallic) brown to blackish brown, globose to slightly compressed, up to 80 µm","Mucor genevensis_16304_7901","zygospores","80",80,NA,NA
"zygospores always numerous, produced near the substrate, giving the culture a blackish zone, spherical to slightly compressed, with heavy spines up to 4.2 µm.","Mucor genevensis_16304_47549","zygospores","4.2",4.2,NA,NA
"Zygospores round or oval, 160-220 µm","Mucor stolonifer_104688_13944","Zygospores","160-220",190,NA,NA
"Zygospores 103-180 (-220) µm,","Mucor stolonifer_104688_14825","Zygospores","103-180 (-220)",180,NA,NA
"zygospores [CBS 974.68 (+) x CBS 137.40 (-) on beerwort agar at 15°C] formed in the aerial mycelium just above the agar surface, globose to slightly compressed between suspensors, up to 180 x 170 µm,","Mucor saturninus_16488_15867","zygospores","180 x 170",180,170,NA
"zygospores [CBS 195.68 (+) x CBS 108.16 (-), on whey agar at 25°C] globose to slightly compressed, up to 100 µm","Mucor circinelloides_58323_14981","zygospores","100",100,NA,NA
"Zygospores formed from tongs-1ike often slightly unequal, apposed suspensors, brown to reddish-brown, translucent, with a smooth, thin outer layer and a striate, thick inner layer, 30-105 µm","Rhopalomyces cucurbitarum_155770_406","Zygospores","30-105",67.5,NA,NA
"Zygospores are unknown. A. harzii (Berl. & De Toni) Rosenberg 1959 was allegedly distinguished by its larger sporangia but falls within the range of variation of A. elegans. Primary sporangia mostly 60-80 µm,","Mucor elegans_58412_13834","Zygospores","60-80",70,NA,NA
"Zygospores between equal suspensors, black, spherical, 50-90 ?m diam, with conical projections. Heterothallic. Physiology. Maximum growth temperature 40°C. Pathogenicity. BSL-2. The species is a saprobe, rarely occurring on humans. A case of cutaneous infection in a human (Kalamam & Thambiah, 1980) and a bovine mycotic abortion have been reported (Turner, 1964). References. Zycha et al. (1969), Samson et al. (1996). Nomenclature. Syncephalastrum racemosum Cohn-Kryptfl. Schles. 3-1: 217, 1886. Syncephalastrum recemosum F. Cohn ex Schroeter, 1886, Kryptogamenfl. Schlweiz., 2, 1: 217. / in Matsuhima (1975), p. 188.  Hab Solo culto; Setagaya Ward, Tokyo; vii. 1961; MFC-1051.  Descr In CMA: Coloniae late effusae, arachnoideae, pallide griseae. Sporangiophora basi rhizoideo, ramosa, apice uni-vesiculata; vesiculae globosae subglobosaeve, 30-80 µm","Syncephalastrum racemosum_26698_11426","Zygospores","30-80",55,NA,NA
"Zygospores developed from the conjugation of two undifferentiated hyphal branches, globose or ovoid, nearly colorless, thick-walled, smooth, 23-50 µm,","Coemansiella alabastrina_117619_34446","Zygospores","23-50",36.5,NA,NA
"zygospores at first white, when mature dark brown to black, slightly roughened (blunt projections no more than 5 µm","Syzygites megalocarpus_26746_23169","zygospores","5",5,NA,NA
"zygospores up to 0.5 cm. above substrate hence below the sporangia, dichotomously divided, nearly hyaline below but dark brown in region of zygospores, terminally tapering to 5 µm;","Syzygites megalocarpus_26746_23169","zygospores","5",5,NA,NA
"azygospores seen which reach a diam. to 160 µm;","Syzygites megalocarpus_26746_23169","azygospores","160",160,NA,NA
"zygospores globose, slightly compressed between the suspensors, brownish, tuberculate, 2,53-55 µm","Cunninghamella elegans_7234_280","zygospores","2,53-55",28.765,NA,NA
"zygospores 50-80 µm","Absidia ramosa_97_422","zygospores","50-80",65,NA,NA
"Zygospores (fide Ellis & Hesseltine 1966, p. 62) heterothallic, 50-80 (rarely up to 85,5 x 102,5) µm","Absidia ramosa_97_13936","Zygospores","85,5 x 102,5)",85.5,102.5,NA
"zygospores 41-83.5(94) µm","Absidia corymbifera_29_423","zygospores","41-83.5(94)",83.5,NA,NA
"Zygospores short-ellipsoidal between suspensors, 60-100-45-80 µm,","Absidia corymbifera_29_11404","Zygospores","60-100-45-80",72.5,NA,NA
"Zygospores (fide Ellis & Hesseltine, 1966, p. 68) heterothallic, 41-83,5 (-94) µm","Absidia corymbifera_29_13935","Zygospores","41-83,5 (-94)",83.5,NA,NA
"Zygospores (compiled from Ellis & Hesseltine, 1966 and Nottebrock, Scholer & Wall, 1974) borne in the aerial mycelium, globose to slightly compressed, 41-94 µm","Absidia corymbifera_29_14820","Zygospores","41-94",67.5,NA,NA
"zygospores (125-)160185(-208) µm","Absidia glauca_66_322","zygospores","(125-)160185(-208)",172.5,NA,NA
"zygospores 83-156(-180) µm","Absidia coerulea_21_326","zygospores","83-156(-180)",156,NA,NA
"Zygospores developed from the conjugation of two undifferentiated hyphal branches, globose or ovoid, nearly colorless, thick-walled, smooth, 23-50 µm,","Kickxella alabastrina_13866_34446","Zygospores","23-50",36.5,NA,NA
"zygospores (125-)160185(-208) µm","Absidia septata_31173_323","zygospores","(125-)160185(-208)",172.5,NA,NA
"zygospores 78-86 µm","Absidia scabra_240820_40216","zygospores","78-86",82,NA,NA
"zygospores usually 40-75 µm","Absidia spinosa_46500_7569","zygospores","40-75",57.5,NA,NA
"Zygospores are covered with blunt stellate projections to 4.5 µm","Absidia spinosa_46500_13808","Zygospores","4.5",4.5,NA,NA
"Zygospores 4-8 per sporangium, reniform, 9-12 µm","Peronospora graminicola_158344_14419","Zygospores","9-12",10.5,NA,NA
"zygospores 41-83.5(94) µm","Mucor corymbifer_35523_423","zygospores","41-83.5(94)",83.5,NA,NA
"Zygospores short-ellipsoidal between suspensors, 60-100-45-80 µm,","Mucor corymbifer_35523_11404","Zygospores","60-100-45-80",72.5,NA,NA
"Zygospores (fide Ellis & Hesseltine, 1966, p. 68) heterothallic, 41-83,5 (-94) µm","Mucor corymbifer_35523_13935","Zygospores","41-83,5 (-94)",83.5,NA,NA
"Zygospores (compiled from Ellis & Hesseltine, 1966 and Nottebrock, Scholer & Wall, 1974) borne in the aerial mycelium, globose to slightly compressed, 41-94 µm","Mucor corymbifer_35523_14820","Zygospores","41-94",67.5,NA,NA
"zygospores globose to slightly compressed between the suspensors, tuberculate, brownish, 30-50 µm","Cunninghamella echinulata_160036_279","zygospores","30-50",40,NA,NA
"Zygospores (fide Cutter, 1946) formed at 25°C, heterothallic, nearly opaque 46-80 x 40-63 (av. 70 x 58) µm","Cunninghamella echinulata_160036_13937","Zygospores",". 70 x 58)",70,58,NA
"zygospores (CBS 106.09 x CBS 365.68 on PDA., at 20°C) black, globose to slightly compressed, up to 93 x 85 (110 x 108) µm,","Mucor corticola_16276_7897","zygospores","93 x 85 (110 x 108)",93,97.5,108
"(azygospores may be present); suspensors equal or unequal (i.e.: one suspensor swollen) up to 30 µm","Mucor corticola_16276_7897","(azygospores","30",30,NA,NA
"zygospores [CBS 640.67 (-) x CBS 144.24 (+), on beerwort agar at 15°C] globose to compressed between suspensors, up to 250 x 200 µm,","Mucor mucedo_16394_15865","zygospores","250 x 200",250,200,NA
"Zygospores globose, (72-)89-112(-126), av. 100, µm","Pirella circinans_21852_34462","Zygospores",". 100,",100,NA,NA
"zygospores [CBS 213.75 (+) x CBS 226.32 (-) on beerwort agar at 24° ] formed in the aerial mycelium in a ladder-1ike fashion, globose or subglobose, up to 85 µm","Mucor plumbeus_16433_14987","zygospores","85",85,NA,NA
"Zygospores non observeés. Ce Mucor semble parenté au M. mucilagineus Bref. (Wint. Kr. FI. IV, par Alfred Fischer, l' 190), niais en diffère par des spores beaucoup plus petites (8-8.5 x 4.5-5 µm","Mucor adventitius_16204_168","Zygospores","(8-8.5 x 4.5-5",8.25,4.75,NA
"Zygospores globose to subglobose, (35-)40-70(-85) µm","Mucor lamprosporus_2981_34587","Zygospores","(35-)40-70(-85)",55,NA,NA
"zygospores [CBS 205.68 (=) x CBS 232.29 (-) on PDA at 25°C] globose or nearly so, up to 70 µm","Mucor janssenii_16364_14984","zygospores","70",70,NA,NA
"zygospores forming at 15-20° C but not at 7° or 24° C on special media, located just above substrate between equal tong-shaped suspensors, black, globose, faintly tuberculate, fragile (breaking readily under cover slips), 250-350 µm","Phycomyces nitens_21437_255","zygospores",")250-350",300,NA,NA
"zygospores spherical, laterally attached to arched suspensors, black at maturity, about half the size of those of P. nitens, measuring about 125 µm","Phycomyces microsporus_58728_257","zygospores","125",125,NA,NA
"zygospores (CBS 412.66 (+) x CBS 208.28 (-) on beerwort agar at 20°C) in the aerial mycelium, reddish brown, up to 70 µm","Parasitella parasitica_18490_15808","zygospores","70",70,NA,NA
"zygospores forming at 15-20° C but not at 7° or 24° C on special media, located just above substrate between equal tong-shaped suspensors, black, globose, faintly tuberculate, fragile (breaking readily under cover slips), 250-350 µm","Mucor nitens_150609_255","zygospores",")250-350",300,NA,NA
"Zygospores formed at or below the surface of the medium, 40-80 µm","Blakeslea trispora_3144_405","Zygospores","40-80",60,NA,NA
"Zygospores on YpD (50-)55-75(-85) µm","Helicostylum nigricans_167287_34494","Zygospores","(50-)55-75(-85)",65,NA,NA
"Zygospores on MEYE globose to subglobose, 70-175 µm","Helicostylum piriforme_12670_34492","Zygospores","70-175",122.5,NA,NA
"zygospores 50-80 µm","Mucor ramosus_167356_422","zygospores","50-80",65,NA,NA
"Zygospores (fide Ellis & Hesseltine 1966, p. 62) heterothallic, 50-80 (rarely up to 85,5 x 102,5) µm","Mucor ramosus_167356_13936","Zygospores","85,5 x 102,5)",85.5,102.5,NA
"Zygospores homothallic, globose to slightly flattened at the sides, black, 55-75 µm","Mucor pusillus_24315_13940","Zygospores","55-75",65,NA,NA
"Zygospores 45-63 (-70) µm","Mucor pusillus_24315_14826","Zygospores","45-63 (-70)",63,NA,NA
"zygospores (CBS 253.53 (+) x CBS 354.68 (-) on beerwort agar at 30°C) formed in the aerial mycelium, globose to slightly compressed, up to 70 x 63 µm,","Mucor pusillus_24315_15805","zygospores","70 x 63",70,63,NA
"Zygospores globose, 70-85 µm","Mucor racemosus_37917_13941","Zygospores","70-85",77.5,NA,NA
"Zygospores (from Schipper, 1976) globose or sub-globose, up to 110 µm","Mucor racemosus_37917_14828","Zygospores","110",110,NA,NA
"Azygospores sometimes present. Chlamydospores numerous in aerial mycelium, sporangiophores and sometimes in the columellae and suspensors, doliiform, sub-globose or globose, often wider than hyphae and up to 30 µm","Mucor racemosus_37917_14828","Azygospores","30",30,NA,NA
"zygospores [CBS 124.23 (-1-) x CBS 260.68 (-) on cherry agar, at 10° C] in the aerial mycelium, globose or nearly so, up to [p. 22] 110 µm","Mucor racemosus_37917_14990","zygospores",". 22] 110",NA,NA,NA
"zygospores at first brown, then blackish brown to black, less than 100 µm","Mucor hiemalis_46607_7896","zygospores","100",100,NA,NA
"zygospores 30-70 µm","Circinella angarensis_5342_139","zygospores","30-70",50,NA,NA
"zygospores 18-36 µm","Tieghemella butleri_168902_7557","zygospores","18-36",27,NA,NA
"Zygospores 17-34 µm","Tieghemella butleri_168902_18584","Zygospores","17-34",25.5,NA,NA
"zygospores 83-156(-180) µm","Tieghemella coerulea_160697_326","zygospores","83-156(-180)",156,NA,NA
"zygospores 40-67 µm","Tieghemella cylindrospora_203242_7570","zygospores","40-67",53.5,NA,NA
"zygospores in single-sporangium transfers, light grey colonies growing well at 25ºC and up to 31ºC, scanty whorls (up to four branches) of sporangiophores, and spores 3.3-5.5 x 2.2-3.5 µm.","Tieghemella cylindrospora_203242_13806","zygospores","3.3-5.5 x 2.2-3.5",4.4,2.85,NA
"Zygospores covered with blunt stellate projections to 4.5 µm","Tieghemella cylindrospora_203242_13806","Zygospores","4.5",4.5,NA,NA
"Zygospores hyaline, globose to subglobose, (34-)46(-62) µm","Mortierella humilis_168108_23259","Zygospores","(34-)46(-62)",46,NA,NA
"zygospores (figs. 8, 9, 10) formed as a solid black line across the plate at juncture of two mating types, borne in air above substrate, never on or in substrate; zygospores 35-90 µm,","Choanephora persicaria_11593_428","zygospores","35-90",62.5,NA,NA
"zygospores 35-90 µm,","Choanephora persicaria_11593_428","zygospores","35-90",62.5,NA,NA
"Zygospores (fide Hesssltine, 1960) (35-) 70-80 (-90) µm","Choanephora persicaria_11593_13938","Zygospores","1960) (35-) 70-80 (-90)",70,NA,NA
"zygospores occasionally a septum may occur, sometimes covered with crystals; heterothallic, zygophores 10-15 µm","Choanephora persicaria_11593_13938","zygospores","10-15",12.5,NA,NA
"zygospores [CBS 108.17 (-) x CBS 277.49 (+), on beerwort agar at 25°C] globose to slightly compressed between suspensors, up to 115 x 105 µm,","Mucor racemosus var. lusitanicus_143547_14982","zygospores","115 x 105",115,105,NA
"zygospores were obtained after mutual combinations of 12 isolates on various media in only two combinations on cherry decoction agar after 6 days at 15-17.5°C but not above; suspensors developing without initial entangling, of unequal size and shape; zygospores smooth-and thin-walled, 22-30 µm","Mortierella turficola_16162_23455","zygospores","22-30",26,NA,NA
"zygospores smooth-and thin-walled, 22-30 µm","Mortierella turficola_16162_23455","zygospores","22-30",26,NA,NA
"zygospores produced readily between compatible strains at room temperature or below on ordinary substrates, formed between tong-shaped suspensors at the surface of the substratum, black, globose, faintly roughened, readily crushed under a cover glass, mostly 400-500 µm","Phycomyces blakesleeanus_21420_256","zygospores","400-500",450,NA,NA
"zygospores 18-36 µm","Absidia butleri_31153_7557","zygospores","18-36",27,NA,NA
"Zygospores 17-34 µm","Absidia butleri_31153_18584","Zygospores","17-34",25.5,NA,NA
"zygospores (from herbarium specimen) golden brown, globose to bent ellipsoid, heavy-walled, borne in or on the surface of medium, with smooth and clearly striate wall which is divided into three zones, 40-80 µm","Choanephora conjuncta_40009_7555","zygospores","40-80",60,NA,NA
"zygospores (CBS 255.36 (-) x CBS 496.66 (+) on beerwort agar at 25°C) in the aerial mycelium, most abundant in the lower part of the colony, [p. 13] black, globose to slightly compressed, up to 80 x 75 (100 x 85) µm,","Mucor inaequisporus_16353_15784","zygospores","80 x 75 (100 x 85)",80,87.5,85
"zygospores (CBS 226.29 (+) x CBS 422.71 (-), on beerwort agar, at 25°C) in the aerial mycelium, most abundant in the underportion of the colony, black, globose to slightly compressed, up to 100 µm","Mucor indicus_16358_15769","zygospores","100",100,NA,NA
"azygospores may occur; suspensors unequal, one very short, the other swollen but constricted adjacent to the zygospore, up to 35 µm","Mucor indicus_16358_15769","azygospores","35",35,NA,NA
"zygospores never formed; azygospores abundant, formed terminally on simple or branched azygophores, black subglobose, slightly flattened, 85-180 µm","Mucor azygospora_421631_432","zygospores","85-180",132.5,NA,NA
"azygospores abundant, formed terminally on simple or branched azygophores, black subglobose, slightly flattened, 85-180 µm","Mucor azygospora_421631_432","azygospores","85-180",132.5,NA,NA
"azygospores Ochraceous-Tawny, while the lower portion where the azygospores are formed is sepia, reverse Ochraceous-Orange; sporangiophores weak and soon limp, up to 10 (-15) µm","Mucor azygospora_421631_15800","azygospores","10 (-15)",12.5,NA,NA
